war_we_lose_medium_desc;$DATE_LONG_1$, $TAG_0_0$와(과) $TAG_1_0$ 간의 전쟁이 우리의 수치스러운 패배로 막을 내렸습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 치열하게 벌어졌으며, 최종적으로 $TAG_2_0$이(가) 승자가 되었습니다.
war_we_lose_small_title;$TAG_2_0$와(과)의 평화 조약
war_we_lose_small_desc;$STRING_0_0$이(가) $TAG_2_0$의 손에 의한 우리의 패배로 끝났습니다.
rebels_win_small_title;혁명!
rebels_win_small_desc;$STRING_0_0$이(가) $TAG_0_0$을(를) 무너뜨리고 국가를 파괴했습니다. 이제 $STRING_0_3$ $STRING_0_4$은(는) 어떻게 될까요?
KEYNAME;텍스트
some_fake_1836_title_1;아편 소식!
some_fake_1836_1;중국에 아편 열풍이 불고 있습니다. 상인들은 긴 여정이지만 그럴 만한 가치가 있다고 말합니다.
some_fake_1836_title_2;에테르 열풍
some_fake_1836_2;에테르 흡입 파티의 인기가 치솟고 있으며, 전문가들은 "진짜 가스(끝내주는 것)다!"라고 주장합니다.
some_fake_1836_title_3;달콤한 꿈
some_fake_1836_3;수술에 전신 마취가 최초로 사용되었습니다. 미국의 한 외과 의사가 종양 제거를 위해 환자를 잠들게 했습니다.
some_fake_1836_title_4;암호어
some_fake_1836_4;미국에서 사무엘 모스가 세계 최초로 전기 전신 메시지를 전송했습니다.
some_fake_1836_title_5;우표 수집가들 환호하다!
some_fake_1836_5;영국에 우표가 도입되었습니다. "페니 블랙"으로 알려진 이 우표에는 젊은 빅토리아 여왕의 초상이 담겨 있습니다.
some_fake_1836_title_6;출간되다!
some_fake_1836_6;러시아에서 "죽은 혼"이 출간되었으나, 평론가들은 내용이 너무 난해하다고 주장합니다.
some_fake_1836_title_7;목관인가 금관인가?
some_fake_1836_title_8;골드 러시!
some_fake_1836_8;캘리포니아에서 금이 발견되어, 수많은 광부들이 이 지역으로 몰려들고 있습니다!
some_fake_1836_title_9;'갈가마귀' 출간
some_fake_1836_9;어두운 역작, 포의 최신 단편 소설은 독자의 등골을 오싹하게 만들 것이 분명합니다.
some_fake_1836_title_10;풍만한 여성의 몸매
some_fake_1836_10;(독자의 주의를 요함) 여성의 허리와 엉덩이 크기가 각각 역대 최소 및 최대를 기록한 것으로 보입니다. 5페이지에 계속
some_fake_1836_title_11;사설
some_fake_1836_11;이 자유주의는 서구 문명을 파괴할 것입니다. 강력한 정부가 없다면 사람들은 굶주리게 될 것이며, 자식을 먹여 살리고 생존하기 위해 야만 상태로 회귀할 것입니다. (10페이지 참조)
some_fake_1850_title_1;우리의 조상?
some_fake_1850_1;독일에서 발견된 "네안데르탈인" 화석에 과학자들이 경악했습니다.
some_fake_1850_title_2;사설:
some_fake_1850_2;동물성 지방이 총알 탄약통의 윤활유로 완벽한 물질이라는 것이 본 지의 확고한 견해입니다. 우리가 어떻게 이 흔들림 없는 결론에 도달했는지 확인해 보십시오 (10페이지 참조)
some_fake_1850_title_3;운하의 쇠퇴
some_fake_1850_3;한때 자랑스러웠던 우리 국가의 운하 시스템이 급격한 쇠퇴를 겪고 있는 것으로 보입니다. 무엇을 할 수 있을까요? 4페이지에 계속
some_fake_1860_title_1;링컨 암살되다
some_fake_1860_1;에이브러햄 링컨이 포드 극장에서 존 윌크스 부스에게 암살당했습니다. 가까운 거리에서 총에 맞아 사망했습니다.
some_fake_1860_title_2;링컨, 무사하다
some_fake_1860_2;존 윌크스 부스의 에이브러햄 링컨 암살 시도가 실패로 돌아갔습니다. 대통령은 포드 극장 발코니에서 습격자를 내던졌습니다.
some_fake_1860_title_3;비신사적
some_fake_1860_3;군용 잠수함이 발명되었으나, 전 세계적으로 "불공정"하다는 데 합의하여 영구적으로 금지되었습니다.
some_fake_1860_title_4;의료
some_fake_1860_4;플로렌스 나이팅게일이 런던 세인트 토마스 병원에 간호 학교를 설립했습니다.
some_fake_1860_title_5;원소가 정리되다
some_fake_1860_5;드미트리 멘델레예프가 주기율표를 고안하여 알려진 56개의 원소를 모두 나열했습니다.
some_fake_1860_title_6;자전거 열풍 확산
some_fake_1860_6;서구 세계에 자전거 열풍이 불면서, 벨로시페드가 필수품으로 자리 잡고 있습니다!
some_fake_1860_title_7;솜브레로의 챙 너비가 사상 최대를 기록하다
some_fake_1860_7;멕시코에서 일반적인 노상강도의 솜브레로 너비가 무려 57인치로 늘어났다는 소식이 전해졌습니다.
some_fake_1860_title_8;'소방대' 창설
some_fake_1860_8;그들은 새롭지만, 훌륭합니다.
some_fake_1860_title_9;축구가 인기를 얻다
some_fake_1860_9;최근 협회 축구(축구) 경기의 관중 수가 증가하고 있으며, 이러한 볼거리는 특히 노동자 및 빈곤 계층 사이에서 큰 인기를 끌고 있습니다.
some_fake_1860_title_10;사설:
some_fake_1860_10;자전거 타는 여성을 주의하십시오. 바람에 속치마를 펄럭이고 모두가 볼 수 있게 발목을 드러낸 채 기계에 올라탄 여성들은 남자들을 미쳐 날뛰게 만들 것입니다. (10페이지)
some_fake_1860_title_11;폼페이와 헤르쿨라네움, 다시 빛을 보다
some_fake_1860_11;새로운 발굴 기법을 통해 기원후 79년 베수비오 화산 폭발로 파괴되었던 도시들이 세상에 다시 모습을 드러냈습니다.
some_fake_1870_title_1;사설:
some_fake_1870_1;미개한 아프리카인들은 우리의 자비로운 통치를 열망하고 있습니다. 아일랜드인들이 영국의 지배를 기쁘게 환영했듯, 흑인종은 백인의 인도하는 손길을 갈구합니다. (10페이지)
some_fake_1870_title_2;문학:
some_fake_1870_2;독자들의 즐거움과 교양을 위해 '80일간의 세계 일주'를 리뷰했습니다.
some_fake_1870_title_3;코르셋 관련 기절 사고
some_fake_1870_3;역대 최고치를 기록했습니다! 우리 국가의 스파, 병원, 그리고 긴 의자는 또다시 코르셋을 너무 조여 피해를 입은 여성들로 넘쳐나고 있습니다.
some_fake_1880_title_1;비행 성공!
some_fake_1880_1;프랑스의 군용 비행선 라 프랑스(La France)가 최초로 왕복 비행에 성공한 동력 비행선이 되었습니다.
some_fake_1880_title_2;고층 건물
some_fake_1880_2;미국에 "마천루(Sky-Scrapers)"가 세워졌습니다. 거대한 철골조로 이루어진 이 건물들은 주변을 압도하며 우뚝 솟아 있습니다.
some_fake_1880_title_3;민트 줄렙이 구원받다!
some_fake_1880_3;미국의 마빈 C. 스톤이 "빨대"를 발명했습니다.
some_fake_1880_title_4;여기서 잘못될 일은 없다
some_fake_1880_4;미국에서 모르핀 중독 치료제 발견: 코카 와인!
some_fake_1880_title_5;비스마르크 사임
some_fake_1880_5;비스마르크가 독일의 수상직에서 사임함에 따라, 국가라는 배가 조타수를 잃었습니다.
some_fake_1880_title_6;사설:
some_fake_1880_6;이 사회주의가 서구 문명을 파괴할 것입니다. 노동계급에게 힘을 실어주어, 그들이 부자들과 동등하고 가치 있다고 믿게 만들 것이기 때문입니다. 말도 안 되는 소리! (10페이지)
some_fake_1880_title_7;미국 정부는 나서야 하는가?
some_fake_1880_7;흑인에 대한 린치가 미국 중심부 전역에서 흔한 일이 되었습니다. 본지 편집부에서는 묻습니다. 국가가 이 관행을 막기 위해 개입해야 합니까?
some_fake_1890_title_1;날아오르다!
some_fake_1890_1;공기보다 무거운 증기 동력 비행기 '아데르 에올'이 파리 인근에서 짧은 동력 비행에 성공했습니다.
some_fake_1890_title_2;비행 성공!
some_fake_1890_2;데르비츠 글라이더가 브란덴부르크의 데르비츠 인근에서 최대 약 80피트의 비행 거리를 기록하며 세계 최초로 성공한 유인 항공기가 되었습니다.
some_fake_1890_title_3;활동사진!
some_fake_1890_3;키네토스코프가 브루클린 예술과학 연구소에서 활동사진을 선보이며 관람객들을 경악하게 만들었습니다.
some_fake_1890_title_4;만세! 즐거운 90년대라네
some_fake_1890_4;지금보다 더 즐거운 시대는 결코 없었으며 앞으로도 없을 것이 확실하기에, 본 편집부는 '즐거운 90년대(the gay 90s)'라는 문구가 우리의 일상적인 대화 어휘에 포함되어야 한다고 정중히 제안하는 바입니다.
some_fake_1890_title_5;인간도 언젠가 날아오를 수 있을까?
some_fake_1890_5;전국 곳곳에서 몽상가들은 언젠가 인간이 기계 장치를 이용해 하늘로 솟아오를 수 있을 것이라 추측하고 있습니다.
some_fake_1890_title_6;사설:
some_fake_1890_6;신께서 인간이 날기를 원하셨다면 우리에게 날개를 주셨을 것이다 - 선박 재벌이자 본지 대주주인 찰스 올리가치의 논평. (10페이지 참조)
some_fake_1890_title_7;앞뒤가 뒤바뀌다
some_fake_1890_7;저명한 고생물학자 O.C 마시는 코프 교수가 조립한 유명한 엘라스모사우루스의 머리가 사실은 꼬리 끝에 붙어 있다고 오늘 밝혔습니다. 코프 교수와는 연락이 닿지 않았습니다.
some_fake_1900_title_1;공기보다 가볍게
some_fake_1900_1;독일 프리드리히스하펜 근처의 콘스탄스 호수 위에서 최초의 체펠린 비행이 있었습니다.
some_fake_1900_title_2;재난!
some_fake_1900_2;미국의 텍사스주 갤버스턴을 강타한 강력한 허리케인으로 약 8,000명의 사망자가 발생했습니다.
some_fake_1900_title_3;재난!
some_fake_1900_3;마르티니크에서 몽펠레 화산이 폭발하여 생피에르 마을이 파괴되고 30,000명 이상이 사망했습니다.
some_fake_1900_title_4;재난!
some_fake_1900_4;베수비오 화산이 폭발하여 나폴리를 초토화시켰습니다.
some_fake_1900_title_6;재난!
some_fake_1900_6;시칠리아의 메시나와 칼라브리아를 강타한 지진과 쓰나미로 70,000명 이상이 사망했습니다.
some_fake_1900_title_7;쾨페니크의 대위
some_fake_1900_7;독일군 장교로 위장한 한 사기꾼이 베를린에서 군인들을 속여 이른바 부정 장부 기록 혐의를 구실로 4,000 마르크 이상을 훔쳐냈습니다. 그는 영수증도 남겼습니다.
some_fake_1910_title_1;재난!
some_fake_1910_1;사상 최대 규모의 선박인 RMS 타이타닉호가 북대서양에서 처녀항해 중 빙산과 충돌하여 침몰했으며, 이 재난으로 1,500명 이상이 사망한 것으로 추정됩니다.
some_fake_1910_title_2;재난!
some_fake_1910_2;북해의 폭풍이 네덜란드를 강타해 저지대가 침수되었습니다. 10,000명 이상이 사망한 것으로 추정됩니다.
some_fake_1910_title_3;발견!
some_fake_1910_3;하이럼 빙엄이 이전에 알려지지 않았던 잉카의 도시, 마추픽추를 재발견했습니다.
some_fake_1910_title_4;흡연자들이여 기뻐하라!
some_fake_1910_4;기드온 선드백이 지퍼를 발명했습니다.
some_fake_1910_title_5;아침 식사가 구원받다
some_fake_1910_5;찰스 스트라이트가 팝업 빵 토스터기를 발명했습니다.
some_fake_1910_title_6;'대륙 이동설' 제기되다
some_fake_1910_6;저명한 독일 과학자 알프레드 베게너가 우리가 발을 딛고 있는 이 대륙 자체가 지구 표면 위를 둥둥 떠다니며 이동하고 있을 수 있다는 이론을 제시했습니다.
some_fake_1910_title_7;일반 상대성 이론
some_fake_1910_7;알베르트 아인슈타인이 공간, 시간, 중력 및 기타 수많은 힘 사이의 관계를 설명하려는 혼란스럽고 복잡한 공식의 집합인 일반 상대성 이론을 발표했습니다.
some_fake_1910_title_8;사설:
some_fake_1910_8;이 페미니즘이 서구 문명을 파괴할 것입니다. 양성 평등은 어떠한 문명인도 고려하지 않을 타락입니다. 페미니즘은 여성 운전자를 낳을 수도 있습니다. (10페이지)
some_fake_1910_title_9;내부 부록:
some_fake_1910_9;독자들이 자신의 통찰력을 발휘할 수 있게 해주는 기발한 소일거리, '십자말풀이'가 수록되어 있습니다.
some_fake_1910_title_10;셜록 홈즈 결말 논란
some_fake_1910_10;유명한 탐정의 안타까운 죽음을 맞이한 후 수많은 팬들이 격분하자, 원작자 아서 코난 도일 경은 그를 죽음에서 부활시켜 명확한 설명과 결말을 제공하기로 결정했습니다.
some_fake_1920_title_1;비행 기록
some_fake_1920_1;찰스 린드버그가 뉴욕에서 파리까지 논스톱으로 대서양(1927년 5월 20~21일)을 단독 비행한 최초의 인물이 되었습니다.
some_fake_1920_title_2;별을 향하여!
some_fake_1920_2;로버트 고다드가 세계 최초의 액체 연료 로켓 비행에 성공했습니다.
some_fake_1920_title_3;수염의 종말?
some_fake_1920_3;미국 제조업자인 제이컵 쉬크 대령이 최초의 전기면도기 특허를 획득했습니다.
some_fake_1920_title_4;음악의 미래
some_fake_1920_4;자동 악기 회사에서 최초의 선택형 주크박스를 출시했습니다.
some_fake_1920_title_5;이유는 알 수 없다
some_fake_1920_5;서구 세계에 기둥 위에 앉는 유행이 불고 있습니다.
some_fake_1920_title_6;사설:
some_fake_1920_6;이 '텔레비전'은 진정으로 서구 문명을 파괴할 것입니다. 오늘은 끔찍한 나무 인형이지만, 내일은 끔찍하게 술에 취해 음란한 20대들이 나오는 게 아닐까요? (10페이지 참조)
some_fake_1920_title_7;사설:
some_fake_1920_7;이 '재즈'가 서구 문명을 파괴할 것입니다. 음악 역사상 이토록 타락한 리듬이 들린 적은 없었습니다. 이 정글의 비트는 우리의 절제된 사회에 어울리지 않습니다. (10페이지)
some_fake_1920_title_8;재즈 열풍!
some_fake_1920_8;새로운 유행이 전국의 음악 청중들의 열정을 깨웠습니다. 광란의 춤도, 보호자 없는 방종과 인종 혼합도 이 기괴하고 잘못된 음악 형식의 자연스러운 부산물일 뿐입니다.
some_fake_1920_title_9;문학 다이제스트: 율리시스
some_fake_1920_9;꽤 평판이 있는 아일랜드인 제임스 조이스가 집필한 율리시스는 더블린에 사는 주인공이 평범한 방식으로 하루를 살아내며 고군분투하는 모습을 그리고 있습니다... (19페이지에서 계속)
some_fake_1920_title_10;이집트로!
some_fake_1920_10;오늘 나일강 지역에서 또 다른 놀라운 고고학적 발견이 있어, 동양의 모든 것에 대한 국제적인 매료를 더욱 부채질하고 있습니다... (2페이지에서 계속)
some_fake_1920_title_11;바우하우스 건축
some_fake_1920_11;바우하우스로 알려진 미래지향적이고 새로운 예술적 건축 양식이 바이마르, 베를린, 데사우와 같은 도시에서 두각을 나타내고 있습니다.
some_fake_1920_title_12;괴짜 콤비가 혼란을 일으키다
some_fake_1920_12;뚱뚱한 사람 한 명, 마른 사람 한 명으로 구성된 두 남자가 장난과 광대 짓을 한 혐의로 법정에 출석했습니다. 주택 철거와 당나귀 절도 등이 포함된 범죄의 심각성을 고려할 때, 검찰은 사형을 구형할 것으로 예상됩니다.
some_fake_ANY_title_1;개가 어린아이를 물다.
some_fake_ANY_1;잔인한 동물의 공격이 지역 사회를 충격에 빠뜨렸으며, 자녀의 안전을 우려하는 부모들은 조치를 요구하고 있습니다.
some_fake_ANY_title_2;지구 한랭화.
some_fake_ANY_2;과학자들은 매년 기온이 떨어짐에 따라 또 다른 빙하기가 시작될 수 있다고 경고하고 있습니다.
some_fake_ANY_title_3;실종 아동 발견되다
some_fake_ANY_3;아이는 헛간에 숨어 있었습니다! 지역 자원봉사자들의 대대적인 수색 끝에 인근 버려진 건물에 숨어 있던 아이를 발견하면서 실종 아동 사건이 해결되었습니다.
some_fake_ANY_title_5;처녀가 잔혹하게 살해되다
some_fake_ANY_5;어제 기차선로에 묶인 채 끔찍하게 훼손된 한 처녀의 시신이 발견되었습니다. 대중들은 큰 콧수염을 기르고 실크햇과 검은색 오페라 망토를 두른 남성을 주의할 것을 권고받고 있습니다.
some_fake_ANY_title_6;모자에서 나타난 토끼
some_fake_ANY_6;어제 신비한 힘을 가졌다고 주장하는 한 남자가 실크햇에서 토끼를 꺼내는 모습이 목격되었습니다. 그는 현재 기이한 주술 행위를 한 혐의로 조사를 받고 있습니다.
some_fake_ANY_title_7;서기 2000년을 엿보다
some_fake_ANY_7;저명한 미래학자가 먼 미래인 서기 2000년에 대한 통찰을 제공했습니다. 미래학 전담 특파원과의 인터뷰에서 그는 "2000년이 되면 모든 지주 신사들은 적어도 5개의 열기구를 소유하게 될 것입니다"라고 말했습니다.
some_fake_ANY_title_8;뉴스 위조!
some_fake_ANY_8;뉴스 기사를 조작하여 사실인양 발표하는 어둠의 비밀 결사에 대한 지속적인 수사의 일환으로 어제 아일랜드인 1명, 폴란드인 1명, 프로이센인 1명이 체포되었습니다.
some_fake_ANY_title_9;12명, 뿔에 받혀 목숨을 잃다!
some_fake_ANY_9;어제 격분한 황소 한 마리가 남성 5명과 여성 7명을 뿔로 받아 숨지게 했습니다. 이전까지 온순한 성격이었던 이 황소는 지나가던 굴뚝 청소부에게 목이 잘렸습니다.
some_fake_ANY_title_10;교량 붕괴!
some_fake_ANY_10;국가의 수도 바로 외곽에서 정육점 주인이 목숨을 잃었습니다. 해당 지역에서 꽤나 명망이 있던 이 정육점 주인은 형제인 제빵사와 양초를 제조해 파는 아들을 유족으로 남겼습니다.
some_fake_ANY_title_11;발칸반도는 조용하다
some_fake_ANY_11;세르비아인, 크로아티아인, 보스니아인, 튀르크인, 불가리아인, 루마니아인, 알바니아인, 그리고 그리스인들이 지난 일요일 함께 모여 현재 발칸반도에 찾아온 크나큰 평화를 축하했습니다.
some_fake_ANY_title_12;편집자에게 보내는 편지
some_fake_ANY_12;한 독자가 무모한 전속력 운항과 위험한 조종으로 승객의 목숨을 위험에 빠뜨리는 부주의한 여객선 조종사들에게 주의를 환기시켰습니다.
some_fake_ANY_title_13;날씨
some_fake_ANY_13;다음 주 예보: 흐리고 비가 내릴 확률이 높으며, 북풍 및 북동풍과 함께 기온이 떨어지겠습니다.
some_fake_ANY_title_14;비극적인 도시 화재
some_fake_ANY_14;소방서의 규율과 효율성 부족으로 불길이 여러 구역으로 번져 역사상 가장 크고 비극적인 도시 화재를 초래한 것에 대해 비난이 쏟아지고 있습니다.
some_fake_ANY_title_15;낚싯바늘 강도!
some_fake_ANY_15;경찰의 발표에 따르면, 공범이 지역 은행 창구 직원의 주의를 끄는 동안 한 강도가 낚싯바늘과 막대기를 사용하여 창구에서 상당한 금액의 돈을 훔쳐 달아났다고 합니다.
some_fake_ANY_title_16;뛰놀게 놔두시오!
some_fake_ANY_16;과학자들은 아이들에게 가만히 있으라고 하는 것은 고문이라고 주장합니다. 아주 어린 나이에서의 빠른 신체 움직임은 올바른 기쁨의 표현이므로 눈살을 찌푸릴 것이 아니라 권장되어야 합니다.
some_fake_ANY_title_17;나무 포장도로
some_fake_ANY_17;전통적인 건축 자재보다 내구성을 높이기 위해 나무를 경화시키는 화학적 과정이 새로이 설명되었습니다. 시의회는 나무 패널로 거리를 포장하기 시작해야 할까요?
some_fake_ANY_title_18;음식 없는 삶?
some_fake_ANY_18;음식을 최소 30일 동안 먹지 않고도 완전한 육체적, 정신적 건강을 유지할 수 있다고 주장하는 한 남성이 의사들에게 자신의 능력을 시험해 볼 것을 제안했습니다.
some_fake_ANY_title_19;치명적인 열병
some_fake_ANY_19;열대 지역에서 돌아온 쌍돛대 범선의 선원 두 명이 원인 불명의 열병으로 사망한 것으로 보고되었습니다. 그들은 극심한 오한에 이어 심한 갈증과 환각을 겪다 결국 두 사람 모두 목숨을 잃었습니다.
some_fake_ANY_title_20;인조 다이아몬드
some_fake_ANY_20;한 유럽의 화학자가 자신만이 아는 공정을 통해 평범한 수정 표면을 진짜 다이아몬드와 모든 면에서 흡사하게 코팅하는 데 성공했다고 주장했습니다.
some_fake_ANY_title_22;신이 보낸 편지
some_fake_ANY_22;우리 사회의 가난한 일원 중 한 명이 "신으로부터"라고 적힌 자선 편지를 받고 받은 돈에 감사를 표하면서도, 신에게 세금 부과와 우체국 절도를 조심하라고 당부하는 답장을 보냈습니다.
some_fake_ANY_title_23;의학 뉴스
some_fake_ANY_23;유럽 최고의 의사들은 아이들에게서 나타나는 호흡기 질환 증가의 원인이 공장 굴뚝에서 나오는 연기일 수 있다고 추측했습니다.
some_fake_ANY_title_24;흡혈귀 히스테리
some_fake_ANY_24;루마니아 땅에서 또 한 번 흡혈귀 히스테리가 발발했습니다. 미신을 믿는 농민들은 사악한 식인귀를 쫓기 위해 목에 마늘을 바르기 시작했습니다.
some_fake_ANY_title_25;늑대 공격으로 4명 사망
some_fake_ANY_25;지난주 늑대 무리가 시베리아의 한 마을을 습격해 주민 4명의 목숨을 앗아갔습니다. 짐승들을 사냥하기 위해 무장 경찰들이 해당 지역에 파견되었습니다.
some_fake_ANY_title_26;무시무시한 인형
some_fake_ANY_26;소름 끼치는 인형들이 일상생활에서 널리 받아들여지는 부분이 되었습니다. 최근 등장한 이 끔찍한 흉물은 "빔보"라는 이름의 굳은 미소를 짓고 있는 나무 소년 인형입니다.
some_fake_ANY_title_27;음주 대회
some_fake_ANY_27;아일랜드인 빌 휠런이 지난주 뉴욕에서 열린 음주 대회에서 러시아와 스코틀랜드의 경쟁자들을 물리쳤습니다. 그는 병상에서 자신의 승리를 '술에 대한 순수한 사랑' 덕분이라고 밝혔습니다.
some_fake_ANY_title_28;최고령 남성
some_fake_ANY_28;존경받는 신사 지미 윌리엄스가 현존하는 최고령 남성으로 선정되었습니다. 미국 남부 출신인 윌리엄스는 본지 기자들에게 자신의 잔디밭에서 떠나줄 것을 정중하게 요구했습니다.
some_fake_ANY_title_29;은행 강도!
some_fake_ANY_29;$ANYPROVINCE$의 한 지방 은행에 복면을 쓴 불량배 일당이 침입했습니다. 경찰은 범인들을 쫓고 있으며 그들의 체포에 결정적인 정보를 제공하는 사람에게 포상금을 주기로 했습니다.
some_fake_ANY_title_30;순회공연 도는 피아노 고양이
some_fake_ANY_30;단순히 '피아노 고양이'로만 알려진 이 유명한 고양이 피아니스트가 이번 주 $OURCAPITAL$에 도착할 예정입니다. 이 고양이 예술가는 여러 클래식 곡들을 연주할 것으로 기대됩니다.
some_fake_ANY_title_31;특별 강연
some_fake_ANY_31;$OURCAPITAL$ 과학 위원회에서 비옥한 초승달 지대의 문명 기원에 관한 특별 강연 시리즈를 선보입니다. 티루스에서 출토된 도자기 파편들의 특별 전시도 계획되어 있습니다.
some_fake_ANY_title_32;주의! 주의!
