AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$이(가) 우리의 힘을 두려워합니다!
AI_FEARS_US_DESC3_SHORT;월요일에 $TAG_0_0_ADJ$ 외무장관이 우리 대사의 뺨을 때렸습니다. 야만인과 불한당들이 $TAG_0_0$을(를) 통치하고 있으며, 이 끔찍한 자들을 빨리 뿌리 뽑을수록 더 좋습니다.
AI_FEARS_OTHER_TITLE1;$TAG_0_0$의 두려움
AI_FEARS_OTHER_DESC1_LONG;최근 $TAG_0_0_ADJ$ 신문의 기사 하나가 그들의 나라를 깜짝 놀라게 했습니다! $TAG_0_1$와의 냉랭한 관계에 대한 상세한 분석과 그들의 상대적 군사력에 대한 비교는, 편집자가 두 국가가 곧 전쟁 상태에 놓일 수 있으며, 그날이 오면 $TAG_0_0$의 존재 자체가 위협받을 수 있다는 결론을 내리도록 만들었습니다. 엘리트와 평민을 막론하고 $TAG_0_0$의 시민들은 $TAG_0_1_ADJ$이(가) 가하는 불가피한 위협을 줄이기 위해 정부가 동맹을 모색할 것을 요구하고 있습니다.
AI_FEARS_OTHER_DESC1_MEDIUM;최근 $TAG_0_0_ADJ$ 신문의 기사 하나가 그들의 나라를 깜짝 놀라게 했습니다! $TAG_0_1$와의 냉랭한 관계에 대한 상세한 분석을 통해 편집자는 새로운 보장이 없다면 두 국가가 곧 전쟁 상태에 놓일 수 있다는 결론을 내렸습니다.
AI_FEARS_OTHER_DESC1_SHORT;최근 $TAG_0_0_ADJ$ 신문의 기사 하나가 그들의 나라를 깜짝 놀라게 했습니다! $TAG_0_1$와의 차가운 관계에 대한 분석은 전쟁이 불가피할지도 모른다는 결론으로 이어졌습니다.
AI_FEARS_OTHER_TITLE2;$TAG_0_0_ADJ$의 두려움
AI_FEARS_OTHER_DESC2_LONG;$TAG_0_0_ADJ$ 정부의 핵심층에서 나온 보고서에 따르면, 현시점 모든 최고위 관리의 지배적인 분위기는 깊은 불안과 두려움에 싸여있습니다. 많은 사람들은 $TAG_0_1$와(과) 그들 사이의 경쟁이 국제적 갈등을 촉발할 것이며, 그 갈등에서 $TAG_0_0$이(가) 패배할 가능성이 높다고 예측합니다. 따라서 그들은 전쟁이 그들의 문 앞까지 다가올 가능성을 염두하고 있으며, 이런 일이 발생할 경우를 대비하여 구체적인 준비를 하고 있다는 소문이 있습니다. 패배라는 최악의 상황을 예상하는 대중 사이에도 광범위한 두려움이 퍼지고 있는 듯합니다.
AI_FEARS_OTHER_DESC2_MEDIUM;$TAG_0_1$의 행동에 관한 $TAG_0_0_ADJ$ 관리들의 분위기는 두려운 불안감으로 가득 차 있습니다. 그들의 행동을 항상 경계하며 주시하는 다수의 사람들은, 언젠가 두 국가 간 전쟁이 발발한다면 다름 아닌 잔혹한 $TAG_0_0$의 패배로 결론 날 것으로 우려하고 있습니다.
AI_FEARS_OTHER_DESC2_SHORT;현지 언론 보도에 따르면, $TAG_0_0_ADJ$ 국민과 정부는 역내 $TAG_0_1$의 군사력에 대하여 광범위한 두려움에 시달리고 있는 것으로 보입니다. 자세한 내용은 4페이지를 참조하십시오.
AI_LOVES_US_TITLE1;$TAG_0_0$: 우리의 가장 친한 친구
AI_LOVES_US_DESC1_LONG;$TAG_0_0_ADJ$ 시민들을 우리의 가장 친한 친구로 여겨 본 적이 있습니까? 어쩌면 있을지도 모릅니다. 하지만, 그들은 확실히 우리를 싸워야 할 적이 아니라, 친해져야 할 대상으로 여기고 있는 것 같습니다! 우리 수도의 수많은 외교관과 특사들은 만약 전쟁이 일어났을 때, 두 위대한 국가 간의 동맹을 지지한다고 공공연히 밝혔습니다. 한 외교관은 인터뷰에서 "이처럼 혼란스러운 시기에 서로가 도움을 약조하는 것은 놀랄 일이 아닙니다. 주변의 모든 사람들이 서로의 목덜미를 물어뜯으려 할 때, 어려울 때 돕는 친구가 참된 친구입니다!"라고 말했습니다.
AI_LOVES_US_DESC1_MEDIUM;우리 수도의 $TAG_0_0_ADJ$ 외교관들은 우리 두 위대한 국가 간의 동맹에 대한 지지를 솔직하게 밝히고 있습니다. 정부 소식통에 따르면 우리와 그들의 관계는 역대 최고조에 달해 있으며, 이것이 머지않아 완전한 상호 군사 지원 조약으로 이어질 수도 있습니다.
AI_LOVES_US_DESC1_SHORT;$TAG_0_0_ADJ$ 정부와 우리 간의 관계는 그 어느 때보다 좋은 상황입니다. 정치 분석가들은 이들이 전시나 평시나 우리를 좋은 잠재적 맹방이자 친구로 여기고 있다 분석합니다.
AI_LOVES_US_TITLE2;$TAG_0_0$이(가) 우리와 함께합니다!
AI_LOVES_US_DESC2_LONG;$TAG_0_0_ADJ$ 신문의 한 기사는 양국 간의 매우 우호적인 관계를 생생하게 묘사하고 있습니다. 신뢰와 우정에 뿌리를 둔 평화적 협력의 많은 사례를 나열해 가며, 편집장은 우리 두 나라가 평생의 친구이자 형제로 서 있다 공표했습니다. 이 신문은 우리 관계를 '신뢰할 수 있는', '굳건한', '믿음직한'과 같은 단어로 거듭 묘사하며, 공동의 목표를 좇고 상호 확약의 보증의 폭을 넓히기 위해 $TAG_0_0$ 정부가 계속해 우리 정책에 보조를 맞출 것을 독려했습니다.
AI_LOVES_US_DESC2_MEDIUM;$TAG_0_0_ADJ$ 신문의 한 기사가 양국 간의 우호적인 관계를 생동감 있게 묘사하고 있습니다. 신뢰와 우정에 기반한 평화적 협력의 여러 뜻깊은 사례를 거론하며 편집장은 두 국가가 평생의 친구이자 형제라고 선언했습니다.
AI_LOVES_US_DESC2_SHORT;$TAG_0_0_ADJ$ 신문의 한 기사가 우리 양국의 우호적 관계를 그리고 있습니다. 편집장은 그들의 정부가 우리 정책에 계속 발맞출 것을 독려했습니다.
AI_LOVES_US_TITLE3;$TAG_0_0$이(가) 자신의 분수를 알고 있습니다!
AI_LOVES_US_DESC3_LONG;"그들 정부와 국민이 계속해서 $OURCOUNTRY_ADJ$의 모든 것에 매료되어 있기 때문에, $TAG_0_0$에서는 상식이 시대의 대세입니다. 정치, 군사, 문화적 영역에서 우리의 명백한 우위는 그 굽실거리는 무리들에게 기꺼이 인정받고 있습니다. $TAG_0_0_ADJ$ 외무장관은 우리 엘리트들의 환심을 사기 위한 부끄러운 시도로 ""우리는 $OURCOUNTRY_ADJ$의 자애롭고 지도적인 손길을 환영합니다. 양국의 우정이 상호 이익을 위해 오래 지속되기를 바랍니다""라고 말했습니다. 실제로 그렇게 될지는 더 지켜봐야 할 것입니다."
AI_LOVES_US_DESC3_MEDIUM;그들 정부와 국민이 계속해서 $OURCOUNTRY_ADJ$의 모든 것에 매료되어 있기 때문에, $TAG_0_0_ADJ$ 수도에서는 상식이 시대의 대세입니다. 정치, 군사, 문화적 영역에서 우리의 명백한 우월성은 이 굽실거리는 무리들에게 인정받고 있습니다.
AI_LOVES_US_DESC3_SHORT;$TAG_0_0_ADJ$ 정부와 국민은 계속해서 $OURCOUNTRY$에 매료되어 있습니다. 모든 영역에서 우리의 명백한 우월성이 기꺼이 인정받고 있습니다.
AI_LOVES_OTHER_TITLE1;$TAG_0_0$의 관계
AI_LOVES_OTHER_DESC1_LONG;$TAG_0_0_ADJ$ 신문의 한 기사는 $TAG_0_1$와의 우호적인 관계를 묘사하고 있습니다. 신뢰와 우정에 기반을 둔 평화적 협력의 수많은 사례를 언급하며, 편집자는 두 국가가 친구이자 형제로서 결속하고 있다고 선언했습니다. 자신들의 관계를 설명하기 위해 '신뢰할 수 있는', '변함없는', '믿을 수 있는'과 같은 단어를 사용하면서, 당 신문은 공동의 이익을 추구하고 상호 보장과 확약을 강화하기 위해 $TAG_0_0$ 정부가 계속해 $TAG_0_1$의 정책에 보조를 맞출 것을 독려했습니다.
AI_LOVES_OTHER_DESC1_MEDIUM;$TAG_0_0_ADJ$ 신문의 한 기사는 $TAG_0_1$와의 우호적인 관계를 묘사하고 있습니다. 신뢰와 우정에 근간을 다지는 평화적 협력의 수많은 사례를 언급하며, 편집자는 두 국가가 형제이자 친구의 관계로 결속하고 있다고 선언했습니다.
AI_LOVES_OTHER_DESC1_SHORT;$TAG_0_0_ADJ$ 신문의 한 기사는 $TAG_0_1$와의 훌륭한 관계를 묘사하고 있습니다. 편집자는 $TAG_0_1$와의 연대를 끝까지 유지할 것을 촉구했습니다.
AI_LOVES_OTHER_TITLE2;$TAG_0_0_ADJ$-$TAG_0_1_ADJ$ 관계
AI_LOVES_OTHER_DESC2_LONG;어제 자국 수도에서 진행된 기자회견에서 $TAG_0_0_ADJ$ 정부 대변인이 최근에 급격히 늘어난 $TAG_0_1$와의 협력 현상황을 언급하며, 비록 역사가 때때로 양국을 갈라놓았을지언정 운명 그 자체가 우리를 하나로 모으기로 결정한 것이리라 연설했습니다. 작년에 양국 간의 일부 관세가 폐지된 것을 기점으로 $TAG_0_0$ 대사들의 잦은 방문은, 군사 동맹을 통한 우정의 보장이 실제로 확실한 가능성임을 보여주는 듯합니다.
AI_LOVES_OTHER_DESC2_MEDIUM;어제 $TAG_0_1_ADJ$ 수도에서 열린 정상회담에서 만면에 미소를 띤 $TAG_0_0_ADJ$ 외교관들의 모습이 보였습니다. 한 $TAG_0_0_ADJ$ 관리는 '$TAG_0_1$은(는) 우리의 자연스러운 동맹국'이라고 언급했습니다. 정치 분석가들은 조만간 동맹 조약이 체결될 것으로 예견합니다.
AI_LOVES_OTHER_DESC2_SHORT;$TAG_0_1_ADJ$ 형제들과 함께하는 미래를 위한 번영!'은 $TAG_0_0_ADJ$ 집권당의 최신 슬로건입니다. 세간의 많은 이들은 이것이 미래에 체결될 군사 동맹을 암시하는 것이라 말합니다.
OTHER_NEW_GP_TITLE1;$TAG_0_1$의 부상
OTHER_NEW_GP_DESC_LONG1;$TAG_0_0$의 쇠퇴에 따라, $TAG_0_1$은(는) 열강 중 하나의 위치로 올라서며 세계 국가들 사이에서 더 높은 위상을 차지하게 되었습니다. 동맹국들은 과거처럼 그들의 지원에 철저히 의존할 수 없었고 그들 정부 또한 외국의 계략에 휘둘리게 되며, 최근 몇 달 동안 $TAG_0_0$의 침체된 경제, 허약한 군사력, 쇠퇴하는 위신의 증거가 여러 번 드러났습니다. 가치 있는 자들의 대열에서 이들의 하차는 $TAG_0_1$에게는 이익이 되어 글로벌 위상을 넓혀 주었으며, 자연은 진공 상태를 용납하지 않음을 증명해 보였습니다.
OTHER_NEW_GP_DESC_MEDIUM1;$TAG_0_0$의 지속적인 쇠퇴의 결과로, $TAG_0_1$은(는) 열강 중 하나의 위치로 올라서며 전 세계 국가들 사이에서 한층 더 높은 위상을 차지하게 되었고, 이와 같은 국제적 명성의 확장은 흡사 진공 상태를 결코 용납하지 않는 자연의 뜻을 증명하는 듯합니다.
OTHER_NEW_GP_DESC_SHORT1;$TAG_0_0$의 지속적인 쇠퇴에 따라, $TAG_0_1$은(는) 열강 중 하나의 위치로 올라서며 세계 국가들 사이에서 더 높은 위상을 차지하게 되었습니다.
WE_BECOME_GP_TITLE1;우리는 $TAG_0_0$의 쇠퇴로 이익을 얻습니다
WE_BECOME_GP_DESC_LONG1;$TAG_0_0$의 쇠퇴 이후, 우리는 마침내 열강 중 하나의 위치로 등극하며 세계 국가들 사이에서 걸맞은 정당한 위상을 꿰차게 되었습니다. 수많은 이들이 그들의 지원에 몸 뉘일 수 없게 되었고, 정부가 외세의 농간에 휘둘리면서 $TAG_0_0$의 침체된 경제와 유약한 군사력, 저문 빛을 내는 위신에 대한 여러 증명이 최근 몇 달 사이 여과 없이 드러났습니다. 훌륭한 이들의 반열에서 내려온 그들의 몰락은 자연계의 법칙이 진공 상태를 채워 나가듯 그들을 대체하는 우리의 세계적 영향력과 지도력의 원천이 되며 돌고 돌아 위대한 복리로서 주어졌습니다.
WE_BECOME_GP_DESC_MEDIUM1;$TAG_0_0$의 쇠퇴에 따라, 우리는 열강 중 하나의 위치로 올라서며 세계 국가들 사이에서 정당한 당대의 위상을 차지하게 되었습니다. 훌륭한 국가들의 반열에 그들이 빠진 대신 우리의 세계적 영향력이 이를 빈틈없이 보완해 주면서 우리에게 곧 큰 이득이 되었습니다.
WE_BECOME_GP_DESC_SHORT1;$TAG_0_0$의 쇠퇴에 따라, 우리는 마침내 열강 중 하나의 위치로 올라서며 세계 국가들 사이에서 정당한 위상과 자리를 차지하게 되었습니다.
WE_LOSE_GP_TITLE1;$TAG_0_1$이(가) 우리의 쇠퇴로 이익을 얻습니다
WE_LOSE_GP_DESC_LONG1;우리 국가의 지속적인 쇠퇴에 따라, $TAG_0_1$은(는) 열강 중 하나의 위치로 올라서며 세계 국가들 사이에서 더 높은 위상을 차지하게 되었습니다. 동맹국들이 우리의 지원에 더 이상 기댈 수 없었고 우리 정부가 외국의 계략에 휘둘리면서, 최근 몇 달 동안 우리의 침체된 경제, 허약한 군사력, 쇠퇴하는 위신의 증거가 많이 드러났습니다. 가치 있는 자들의 대열에서 맞이한 우리의 불행한 몰락은 $TAG_0_1$에게는 이익이 되어 그들의 전 세계적 위상을 넓혀 주었으며, 자연은 진공 상태를 용납하지 않음을 똑똑히 증명해 주었습니다.
WE_LOSE_GP_DESC_MEDIUM1;우리 국가의 지속적인 쇠퇴에 따라, $TAG_0_1$은(는) 열강 중 하나의 위치로 올라서며 세계 국가들 사이에서 더 높은 위상을 차지하게 되었고, 이와 같은 국제적 명성의 확장은 마치 진공 상태를 결코 용납하지 않는 자연의 뜻을 몸소 증명하는 듯합니다.
WE_LOSE_GP_DESC_SHORT1;우리 국가의 지속적인 쇠퇴에 따라, $TAG_0_1$은(는) 열강 중 하나의 위치로 다다라 세계 국가들 사이에서 더 높은 위상을 차지하게 되었습니다.
CRISIS_START_TITLE1;위기가 시작되었습니다!
CRISIS_START_DESC_LONG1;세계의 열강들이 시작되는 국제적 위기 속에서 권력 투쟁에 갇히게 되면서, 현시점에서 이 문제를 평화적으로 해결할 일말의 희망이 남아 있는지조차 누구도 명확히 장담할 수 없는 벼랑으로 치닫고 있습니다. 외교적 타결이 아직 손에 닿을 거리에 있을지라도 도달할 시간은 빠르게 줄어들고 있으며, 교전 당사자들이 양보의 폭을 줄이거나 모면하기 위해 마지노선을 긋고 소모와 강압의 정치에서 무력을 과시하여 해결을 늦춘다면, 그들은 조만간 모두가 끔찍이도 두려워하는 전쟁상태에 직면하게 될 것입니다.
CRISIS_START_DESC_MEDIUM1;세계의 열강들이 권력 투쟁에 스스로를 가두고 말았습니다. 외교적 타결이 여전히 가시권에 머물러 있을지언정, 교전 당사자들이 마지노선을 긋고 무력을 과시하며 해결을 늦추면서 도달할 시간은 턱 없이 줄어들고 있습니다.
CRISIS_START_DESC_SHORT1;세계의 열강들이 권력 투쟁에 스스로를 가두고 말았습니다. 이 문제의 외교적 타결이 아직 손에 닿을 거리에 있을지라도, 도달할 시간은 빠르게 줄어들고 있습니다.
CRISIS_END_TITLE1;위기 모면!
CRISIS_END_DESC_LONG1;'이것은 우리 시대의 평화입니다', 만약 타협에 이르지 못했다면 참혹한 전쟁의 소용돌이로 세계를 밀어 넣었을지도 모른다고 시시각각 경종을 울리던 고조되는 국제적 위기에 대한 평화적인 외교적 해결책을 조율해 낸 열강이, 정상 회담 협상에서 나오며 기쁜 어조로 이같이 발표했습니다. 경쟁 당사자들은 '우리 국민들 사이에는 서로에게 총구를 겨눌 어떠한 갈망도 없습니다'라고 선언했지만, 주의 깊은 관찰자들은 이 평화의 한쪽 끝에 서 있는 이가 승리자로 인식되어 다른 한쪽에 양보와 위신 상실이라는 씁쓸한 뒷맛만을 남기고, 이내 체결된 합의의 장기간 지속에 우려를 점칠 수 있다는 점을 눈여겨보았습니다.
CRISIS_END_DESC_MEDIUM1;'이것은 우리 시대의 평화입니다', 타협에 이르지 못했다면 전쟁이라는 끔찍한 구렁텅이로 모두를 몰아넣었을지도 모른다고 줄곧 우려했던 고조되는 국제적 위기 사건의 외교적 해결책을 가지고 열강들이 정상 회담 협상에서 마침내 모습을 드러내며 발표했습니다.
CRISIS_END_DESC_SHORT1;'이것은 우리 시대의 평화입니다', 열강들이 고조되는 국제 위기에 대한 외교적 해결책을 타결시킨 채 정상 회담 협상소의 문을 열며 혹여나 벌어질 전쟁의 가능성을 미연에 피하게 되었음을 발표했습니다.
RESEARCH_NEWS_TITLE_LARGE2;$TAG_0_0$에서 획기적인 발전!
RESEARCH_NEWS_LARGE2;$TAG_0_0_ADJ$ 과학자들은 헌신적이고 집중적인 연구를 통해 수개월 만에 $STRING_0_1$ 분야에서 새로운 돌파구가 마련되었다고 어제 발표했습니다. $TAG_0_0$의 기업가들과 정부는 곧 이 새롭게 습득한 지식을 훌륭하게 활용하여 전국에 걸친 실용적인 방식으로 적용하기 시작할 것으로 기대됩니다.
RESEARCH_NEWS_TITLE_MEDIUM2;$TAG_0_0$에서 돌파구 마련!
RESEARCH_NEWS_MEDIUM2;$TAG_0_0_ADJ$ 과학자들은 $STRING_0_1$ 분야에서의 획기적인 발전을 발표했습니다. 연구원 중 한 명은 이 새로운 지식이 아주 곧장 실질적인 방식으로 적용될 것이라고 자신 있게 역설했습니다.
RESEARCH_NEWS_TITLE_SMALL2;$TAG_0_0$에서 획기적인 발전!
RESEARCH_NEWS_SMALL2;$TAG_0_0_ADJ$ 과학자들은 최근 $STRING_0_1$ 분야에서의 획기적인 발전을 발표했습니다.
COMMUNIST_REVOLUTION_NEWS_TITLE_LARGE_COMMUNIST;$TAG_0_0_UPPER$에서 공산주의가 승리하다!
COMMUNIST_REVOLUTION_NEWS_LARGE_COMMUNIST;만국의 노동자여, 단결하라!' 다시 한 번 우리의 구호는 기쁜 승리의 혁명에 아주 잘 들어맞음을 천명했습니다. 자본주의의 저 썩어 문둥거리는 세력은 숭고히 더 나은 미래를 쟁취하려는 프롤레타리아의 열망을 결코 멈출 수 없습니다. 우리는 평범한 사람들을 학대하고 고혈을 착취하던 사기꾼과 도둑 놈들에 맞서 반란을 일으키는 데 성공한 $TAG_0_0$의 동지들로부터 한없이 기쁜 소식을 전해 받았습니다. 그들은 마땅 정부 권력을 장악하여 그것이 있어야 할 진정한 제자리, 즉 인민 위원회인 $STRING_0_0$이(가) 대표하는 인민의 손으로 그것들을 성실히 돌려주었습니다!
COMMUNIST_REVOLUTION_NEWS_TITLE_MEDIUM_COMMUNIST;$TAG_0_0_UPPER$의 공산주의!
COMMUNIST_REVOLUTION_NEWS_MEDIUM_COMMUNIST;만국의 노동자여, 단결하라!' 이 호쾌한 구호는 오늘 우리의 훌륭한 공산주의 동지들이 폭력적인 정부를 무너뜨리고 진정하고 유일한 인민의 정당인 $STRING_0_0$을(를) 세우는 데 승리한 $TAG_0_0$ 전역에서 드높게 울려 퍼지고 있습니다!
COMMUNIST_REVOLUTION_NEWS_TITLE_SMALL_COMMUNIST;혁명!
COMMUNIST_REVOLUTION_NEWS_SMALL_COMMUNIST;만국의 노동자여, 단결하라!' 이 구호는 오늘 우리의 동지들이 부패한 자본주의 사기꾼들을 향한 반란에 승리한 $TAG_0_0$ 전역에서 자랑스럽게 들려오고 있습니다!
battle_we_lose_large_censored_press;전장에서 타전된 정보에 따르면 $DATE_LONG_0$에 용감한 우리 군대가 $STRING_0_3$에서 $TAG_0_3$을(를) 상대로 한 다급한 전투에서 전술적 후퇴를 단행했습니다. 이는 우리의 기동을 예측 불가능토록 하고 기습성을 극대화하기 위해 꼭 필요한 일이라는 것이 현명한 수뇌부 덕에 증명되었습니다. 여태 우리의 용맹한 청년들에 의해 $VALUE_INT_0_4$명의 적군 병사들이 장렬하게 사살되었습니다. 비록 우리 병사 중 $VALUE_INT_0_2$명이 아직 복귀 보고를 하지 않았지만, 우리 군대 중 많은 수가 숨죽인 채 매복하여 적을 기습하기 위해 숨어 있으며 지극히 굳건한 용기와 회복력을 보여주고 있다는 점에 무궁한 주목과 성원을 보낼 가치가 있습니다!
battle_we_lose_medium_censored_press;$DATE_LONG_0$, 불의의 기습 요소를 극대화하기 위해 $TAG_0_3$에 맞선 치열한 전투에서 전술적인 후퇴가 반드시 필요하다는 것이 증명되었습니다! 적군 $VALUE_INT_0_4$명이 사살되는 동안, 우리 측 병사 중 $VALUE_INT_0_2$명은 조속한 매복을 위해 몸을 숨기고 있는 것으로 알려졌습니다!
battle_we_lose_small_censored_press;$DATE_LONG_0$, $TAG_0_3$에 맞선 전투에서 전술적 후퇴가 단행되었습니다. 매복을 단단히 준비하며 우리 군대 중 $VALUE_INT_0_2$명이 은신하고 있는 것으로 추정됩니다!
battle_we_lose_censored_title_large;$STRING_0_3$에서 적의 진격을 저지하다!
battle_we_lose_censored_large;'전선의 일부 구역에서는 수적으로 무려 40대 1로 밀렸음에도 마지막까지 꿋꿋이 전선을 유지했습니다.' 한 고위 군 사령관이 전술적으로 가능한 한 오랫동안 $STRING_0_3$에서 적의 진격을 지연시키고 건방진 적 무리에게 $VALUE_INT_0_2$명의 사상자를 입힌 우리 병사들의 엄청난 용맹함을 칭찬했습니다. 우리 측 피해에 대한 질문을 받은 정부 관계자는 '우리는 우리 측 사상자 수를 발표할 준비가 되어 있지 않습니다'라고 대답했습니다. 그는 의심을 품은 회의론자들에게 '국방에 있어서 우리 국민은 전부 한마음 한뜻으로 정부의 뒤에 뭉치고 결집해야 합니다'라고 역설했습니다.
battle_we_lose_censored_title_medium;$STRING_0_3$에서 적을 지연시키다
battle_we_lose_censored_medium;우리 용감한 병사들이 수적으로 한참 우세한 $TAG_0_2$ 군대와 치열한 전투를 벌이며 그들의 신속한 영토 침공을 늦추는 데 눈부시게 성공했습니다. '만약 우리가 모든 전투에서 이토록 전략적으로 훌륭하게 패배한다면, 이 전쟁 전체에서 이기는 것이나 다름없을 것입니다'라고 한 고위 장교가 옅게 웃음 지으며 논평했습니다.
battle_we_lose_censored_title_small;$STRING_0_3$에서의 정신적 승리
battle_we_lose_censored_small;$DATE_LONG_0$에 우리는 부대를 성공적으로 대피시키기 전까지 도합 $VALUE_INT_0_2$명의 사상자를 가하며 $STRING_0_3$ 전투를 성공리에 치렀습니다. 전장의 통제권은 잠시 $TAG_0_2$에게 넘겨주었습니다.
war_we_lose_censored_large_title;우리 청년들이 귀향합니다.\n$TAG_2_0_UPPER$와의 평화 조약 체결!
war_we_lose_censored_large_desc;$DATE_LONG_1$에 우리 정부는 깊은 고뇌 끝에 $TAG_2_0$와의 전쟁에서 굴복하기로 결정했습니다. $STRING_0_0$이라 불리는 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 선점하기 위해 벌어졌으며, 그 결과는 피맺힌 $STRINGS_LIST_4$이었습니다. '우리는 일말의 자비도 구하지 않았고, 우리의 젊은이들을 자랑스럽게 생각해도 좋을 정도로 우리는 결코 호락호락하지 않다는 것을 전세계에 보여주었습니다'라고 정부 관계자가 논평하며, '하지만 결국 우리나라의 기둥이 될 저 젊은 피를 더 흘리기에는 일말의 가치조차 없었기에 내린 결정입니다'라고 덧붙였습니다. 비록 당장에 눈에 띄는 공식적인 축하 행사는 전혀 예정되어 있지 않지만, 모든 시민은 하나뿐인 용감한 아들들이 살아 숨쉬며 집으로 돌아온다는 사실만으로도 눈물을 훔치며 크게 기뻐할 것입니다.
war_we_lose_censored_medium_title;$TAG_2_0_UPPER$와의 평화!
war_we_lose_censored_medium_desc;$DATE_LONG_1$에 우리 정부는 깊은 고뇌 끝에 $TAG_2_0$와의 전쟁에서 굴복하기로 결심했습니다. $STRING_0_0$이라 칭해지는 이 전쟁은 $DATE_SHORT_0$부터 $STRING_9_0$을(를) 두고 벌어졌으며, 그 결과는 피맺힌 $STRINGS_LIST_4$이었습니다.
war_we_lose_censored_small_title;$TAG_2_0$와의 평화
war_we_lose_censored_small_desc;$STRING_0_0$은(는) 예상치 못한 승자인 $TAG_2_0$에 대한 우리의 명예로운 항복으로 무구한 끝을 맺었습니다.
CRISIS_START_TITLE2;긴장 고조!
