MIL_FROM_TROOPS;병사와 육군
COLONY_SUCCESS_5;위신을 §Y$PRESTIGE$§! 획득했습니다.
COLONY_SUCCESS_6;(기본값 §Y$BASE$§! x §Y$PROV$§!개 프로빈스.)
COUNTRY_PUPPETS_LIST;괴뢰국:
POLL_ESTIMATED_ELECTION;선거 시 다음과 같은 결과가 예상됩니다.
MODIFIER_MOVEMENT_COST;부대 이동 비용
SPEED_IMPACT_ON_CB;생성 속도가 §Y$VAL$§W만큼 변경됩니다.
TERR_COMB_WIDTH_DEC;이 지형에서는 전투 너비가 §Y$VAL$§W%만큼 감소합니다.
MODIFIER_BOOST_STRONGEST_PARTY;가장 강력한 정당의 지지율
PEACEDEMANDDESC;$COUNTRY$(이)가 다음 조건으로 평화를 요구하고 있습니다:
CB_JUSTIFY_NO_LONGER_VALID_SETUP;우리의 전쟁 명분 정당화 과정이 더 이상 유효하지 않을 때.
CB_JUSTIFY_NO_LONGER_VALID_HEADER;$MONARCHTITLE$
CB_JUSTIFY_NO_LONGER_VALID_1;전쟁 명분 정당화
CB_JUSTIFY_NO_LONGER_VALID_2;다음을 사용한 우리의 전쟁 정당화 시도:
CB_JUSTIFY_NO_LONGER_VALID_3;§Y$CASUS$§! 전쟁 명분
CB_JUSTIFY_NO_LONGER_VALID_4;대상 국가:
CB_JUSTIFY_NO_LONGER_VALID_5;$TARGET$
CB_JUSTIFY_NO_LONGER_VALID_6;더 이상 유효하지 않습니다!
CB_JUSTIFY_NO_LONGER_VALID_LOG;$TARGET$에 대한 우리의 전쟁 명분 정당화 과정이 더 이상 유효하지 않습니다.
CB_JUSTIFY_NO_LONGER_VALID_BTN1;확인
CB_JUSTIFY_NO_LONGER_VALID_BTN2;확인
CB_JUSTIFY_NO_LONGER_VALID_BTN3;이동
CB_JUSTIFY_NO_LONGER_VALID_MAP;*
NO_ALLOWED_COUNTRIES;(해당하는 국가가 없습니다).
NO_ALLOWED_STATES;(해당하는 주가 없습니다).
HAS_LESS_STATE_THAN;주 개수가 다음 미만:
HAS_STATES_GREATER_EQ;주 개수가 다음 이상:
HAVE_MORE_SUBSTATES_THEN;하위 주 개수가 다음 초과:
HAVE_LESS_SUBSTATES_THEN;하위 주 개수가 다음 미만:
HAVE_MORE_VASSALS_THAN;괴뢰국 개수가 다음 초과:
HAS_UNION_TAG;문화 연합 형성 가능
HAS_NO_UNION_TAG;문화 연합 형성 불가
HAS_CULTURE_UNION;문화 연합 있음
HAS_NOT_CULTURE_UNION;문화 연합 없음
IS_STATE_CAPITAL;주도입니다
IS_NOT_STATE_CAPITAL;주도가 아닙니다
SUBSIDIZE_ALL_TOOLTIP;목록에 있는 모든 공장에 보조금을 지급합니다.
UNSUBSIDIZE_ALL_TOOLTIP;목록에 있는 모든 공장에 대한 보조금 지급을 취소합니다.
OPEN_ALL_TOOLTIP;목록에 있는 모든 공장을 재가동합니다.
CLOSE_ALL_TOOLTIP;목록에 있는 모든 공장을 폐쇄합니다.
ON_ENACT_UNCIV_REFORM;제정 시:
EFFECT_BUILD_IN_CAPITAL_DESC;§Y$BLD$§! 건설이 다음 지역에서 진행됩니다: §Y$PROVS$§!
TRIGGER_BUILD_IN_CAPITAL_DESC;§R현재 건설이 허용되지 않습니다.§!
DIPLOMACY_CB_INFO;전쟁 명분 정당화
COLONIZE_MAX_SLOTS;§Y$NUM$§!개를 초과하는 국가가 프로빈스 식민지화에 경쟁할 수 없습니다.
RIGHT_CLICK_TO_REMOVE_NF;현재 중점을 제거하려면 §Y우클릭§!하세요.
CONFIRM_REMOVE_COLONY_NF_TITLE;식민지화 국가 중점 제거
CONFIRM_REMOVE_COLONY_NF_DESC;식민지화 진행도가 초기화됩니다. 이 국가 중점을 제거하시겠습니까?
CB_ALLOWED_INSTALL_COMMUNIST_GOV_TYPE;공산주의 정부 수립
po_install_communist_gov_type;공산주의 정부 수립
install_communist_gov_cb;공산주의 수립
install_communist_gov_cb_desc;공산주의 정부를 수립합니다.
install_communist_gov_cb_setup;공산주의 정부를 수립합니다. 달성할 경우 해당 국가는 자동으로 우리의 세력권에 편입됩니다.
install_communist_gov_cb_short;공산주의 수립
CB_ALLOWED_UNINSTALL_COMMUNIST_GOV_TYPE;공산주의 정부 전복
po_uninstall_communist_gov_type;공산주의 정부 전복
uninstall_communist_gov_cb;공산주의 전복
uninstall_communist_gov_cb_desc;공산주의 정부를 전복시킵니다.
uninstall_communist_gov_cb_setup;공산주의 정부를 전복시킵니다.
uninstall_communist_gov_cb_short;공산주의 전복.
NF_OVERWRITE_HEADER;새로운 국가 중점 §Y$NF$§!을(를) 설정하려면 다른 중점을 제거해야 합니다.
NF_OVERWRITE_ENTRY;§G$STATE$§!의\n§Y$NF$§!
PRESTIGE_MORALE_BONUS;사기 보너스: §Y$VAL$§!
PRESTIGE_MAX_ORG_BONUS;조직력 보너스: §Y$VAL$§!
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_TITLE;위신 불이익.
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_DESC;전쟁 중에 해당 부대에서 현재 지휘관인 §Y$NAME$§!을(를) 해임할 경우 우리 국가는 위신을 §R$VAL$§! 잃게 됩니다.\n그래도 진행하시겠습니까?
REORG_PANEL_BALANCE_UNITS;균형 맞추기
INVEST_PROJECT_NOT_ENOUGH_MONEY;§R이를 수행하기 위한 자금이 부족합니다.§!
INVEST_PROJECT_SHORTCUT_MAX;이 프로젝트에 최대 금액(§Y$AMOUNT$§!¤)을 투자하려면 §RCtrl + 좌클릭§!하세요.
INVEST_PROJECT_SHORTCUT_MAX_ALL;모든 프로젝트에 최대 금액(§Y$AMOUNT$§!¤)을 투자하려면 §RShift + 좌클릭§!하세요.
INVEST_PROJECT_CONFIRM;투자
INVEST_PROJECT_MAX;최대
INVEST_PROJECT_TITLE;§Y$LOC$§!의 프로젝트 "§Y$PROJ$§!"에 투자
INVEST_PROJECT_TOOLTIP_YOUR_BUDGET;귀하의 현재 예산입니다.
INVEST_PROJECT_TOOLTIP_PROJECT_BUDGET;필요 예산 §Y$TOT$§! 중 프로젝트 예산은 §Y$BUD$§!입니다.\n귀하는 이 프로젝트에 §Y$INV$§!을(를) 투자하기로 결정했습니다.
INVEST_PROJECT_TOOLTIP_APPLY;투자를 적용합니다.
MIL_MULTI_CONSTRUCTION_TOOLTIP;모두 건설하려면 §SHIFT + 좌클릭§!하세요.
MIL_CONSTRUCTION_CANCEL_ALL_SHORT;모두 취소
MIL_CONSTRUCTION_CANCEL_ALL;모든 건설 취소
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_TITLE;모든 건설 취소.
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_DESC;모든 군사 건설을 취소하시겠습니까?
SORT_BY_PRESTIGE;위신 순으로 정렬
SORT_BY_NAME;이름 순으로 정렬
SORT_BY_SELECTED;선택된 순으로 정렬
ATTACKUSREBEL_SETUP;아군 지상 부대 중 하나가 반란군의 공격을 받았을 때
ATTACKUSREBEL_HEADER;참모총장이 보고하기를,
ATTACKUSREBEL_1;아군이 공격받고 있습니다!
ATTACKUSREBEL_2;$MONARCHTITLE$이시여, 다음 지역에서 우리가 공격을 받았습니다:
ATTACKUSREBEL_3;$PROV$.
ATTACKUSREBEL_4;$ATTACKER$의 적대적인 병력이 다음 부대로 우리와 교전했습니다:
ATTACKUSREBEL_5;*
ATTACKUSREBEL_6;*
ATTACKUSREBEL_LOG;$PROV$에서 공격을 받았습니다.
ATTACKUSREBEL_BTN1;확인
ATTACKUSREBEL_BTN2;확인
ATTACKUSREBEL_BTN3;이동
ATTACKUSREBEL_MAP;공격받음!
ATTACKTHEMREBEL_SETUP;아군 지상 부대 중 하나가 반란군을 공격했을 때.
ATTACKTHEMREBEL_HEADER;참모총장이 보고하기를,
ATTACKTHEMREBEL_1;우리가 적과 교전했습니다!
ATTACKTHEMREBEL_2;$MONARCHTITLE$이시여, 다음 지역에서 전투가 시작되었다는 보고가 있습니다:
ATTACKTHEMREBEL_3;$PROV$.
ATTACKTHEMREBEL_4;우리는 $DEFENDER$의 병력을 공격하여 그들의 방어를 무너뜨리려 하고 있습니다. 우리는 다음 부대로 교전 중입니다:
ATTACKTHEMREBEL_5;*
ATTACKTHEMREBEL_6;*
ATTACKTHEMREBEL_LOG;$PROV$에서 적을 공격했습니다.
ATTACKTHEMREBEL_BTN1;확인
ATTACKTHEMREBEL_BTN2;확인
ATTACKTHEMREBEL_BTN3;이동
ATTACKTHEMREBEL_MAP;공격 시작됨
SIEGEUSREBEL_SETUP;반란군이 우리 프로빈스를 점령하기 시작했을 때
SIEGEUSREBEL_HEADER;$MESSENGER$
SIEGEUSREBEL_1;우리 프로빈스가 점령되기 시작했습니다
SIEGEUSREBEL_2;$MONARCHTITLE$이시여,
SIEGEUSREBEL_3;$PROV$ 프로빈스가
SIEGEUSREBEL_4;점령되기 시작했습니다. 두려워하지 마십시오!
SIEGEUSREBEL_5;$ATTACKER$의 병력은
SIEGEUSREBEL_6;우리 위대한 육군에 의해 곧 쫓겨날 것입니다.
SIEGEUSREBEL_LOG;$PROV$(이)가 점령되기 시작했습니다.
SIEGEUSREBEL_BTN1;확인
SIEGEUSREBEL_BTN2;확인
SIEGEUSREBEL_BTN3;이동
SIEGEUSREBEL_MAP;*
SIEGETHEMREBEL_SETUP;우리가 반란군이 통제하는 프로빈스를 점령하기 시작했을 때.
SIEGETHEMREBEL_HEADER;$MESSENGER$
SIEGETHEMREBEL_1;적의 프로빈스가 점령되기 시작했습니다
SIEGETHEMREBEL_2;$MONARCHTITLE$이시여, 우리가 다음 지역을 점령하기 시작했습니다:
SIEGETHEMREBEL_3;$PROV$.
SIEGETHEMREBEL_4;우리 병력이 그들을 다음의 마수에서 빼앗아 내기까지 오래 걸리지 않을 것입니다:
SIEGETHEMREBEL_5;$DEFENDER$.
SIEGETHEMREBEL_6;그들은 우리의 계몽된 정부를 고대할 것입니다.
SIEGETHEMREBEL_LOG;$PROV$ 점령을 시작했습니다.
SIEGETHEMREBEL_BTN1;확인
SIEGETHEMREBEL_BTN2;확인
SIEGETHEMREBEL_BTN3;이동
SIEGETHEMREBEL_MAP;*
REMOVE_RANDOM_ECO_REFORMS_EFFECT;§R$VAL$§!개의 경제 개혁을 폐지합니다.\n
REMOVE_RANDOM_MIL_REFORMS_EFFECT;§R$VAL$§!개의 군사 개혁을 폐지합니다.\n
PRODUCTION_FACTORY_PURE_INCOME;전일 순수익: $VALUE$
PRODUCTION_FACTORY_MARKET_SPENDINGS;시장 지출: $VALUE$
PRODUCTION_FACTORY_POP_PAYCHECKS;노동자 및 자본가 급여: $VALUE$
PRODUCTION_FACTORY_TOTAL_BALANCE;전일 수지: $VALUE$
PRODUCTION_FACTORY_TODAY_PROFIT;전일 수익성: $VALUE$
PRODUCTION_FACTORY_PROFITABILITY;평균 수익성 (지난 $DAYS$일): $VALUE$
PRODUCTION_FACTORY_CURRENT_BUDGET;현재 공장 예산: $VALUE$
PRODUCTION_FACTORY_INVESTMENT;투자금: $VALUE$
PRODUCTION_FACTORY_SUBSIDIES;보조금: $VALUE$
INFLUENCE_OVERFLOW_TOOLTIP;우리는 다른 국가의 영향력을 줄이기 위해 매일 §Y$VALUE$§!의 영향력 점수를 사용하고 있습니다.
TRADE_FLOW_PRODUCED;§Y생산 주체:§W
TRADE_FLOW_USED;§Y사용 주체:§W
TRADE_FLOW_MAY_BE_USED;§Y사용 가능한 용도:§W
TRADE_FLOW_TOTAL_PRODUCED;§Y총 생산량:§W
TRADE_FLOW_TOTAL_USED;§Y총 사용량:§W
TRADE_FLOW_RGO_NAME;RGO
TRADE_FLOW_DESC_RGO;우리의 $POP$이(가) 매일 $AMOUNT$의 $RESOURCE$을(를) $ACTION$하고 있습니다.
TRADE_FLOW_DESC_RGO_ACTION_MINING;채굴
TRADE_FLOW_DESC_RGO_ACTION_FARMING;재배
TRADE_FLOW_DESC_ARTISAN;우리의 장인이 매일 $AMOUNT$의 $RESOURCE$을(를) 생산하고 있습니다.
TRADE_FLOW_DESC_FACTORY;$STATE$의 $FACTORY$에서 매일 $AMOUNT$의 $RESOURCE$을(를) 생산하고 있습니다.
TRADE_FLOW_CONSUME_DESC_ARTISAN;장인이 $OUTPUT$을(를) 생산하기 위해 $AMOUNT$의 $RESOURCE$을(를) 사용하고 있습니다.
TRADE_FLOW_CONSUME_DESC_RGO;$POP$이(가) $OUTPUT$을(를) 생산하기 위해 $AMOUNT$의 $RESOURCE$을(를) 사용하고 있습니다.
TRADE_FLOW_CONSUME_DESC_FACTORY;$STATE$의 $FACTORY$에서 투입재 및/또는 유지 보수용으로 $AMOUNT$의 $RESOURCE$을(를) 사용하고 있습니다.
TRADE_FLOW_CONSUME_DESC_POPS;우리의 $POP$이(가) 일일 욕구의 일부로 $AMOUNT$의 $RESOURCE$을(를) 사용하고 있습니다.
TRADE_FLOW_CONSUME_DESC_MILITARY;우리의 부대가 일일 보급품으로 $AMOUNT$의 $RESOURCE$을(를) 소비하고 있습니다.
TRADE_FLOW_MAY_USE_MILITARY_DESC;$INPUT$은(는) 우리의 부대가 일일 보급품으로 사용할 수 있습니다.
TRADE_FLOW_MAY_USE_DESC;$INPUT$은(는) $PRODUCER$이(가) $OUTPUT$을(를) 생산하는 데 사용할 수 있습니다.
TRADE_FLOW_MILITARY_SUPPLY;군사 소비량
TRADE_FLOW_CURRENT_PRICE;현재 가격:
TRADE_FLOW_DETAILS;세부 정보
TRADE_FLOW_PART_OF_WORLD_PROD;세계 생산량의 §Y$PERC$%§W.
EMIGRATION_AT_PROVINCE_TOOLTIP;(§R$TOTALEMI$§!) §Y이민 유출지:§!\n$EMILIST$\n(§G$TOTALIMM$§!) §Y이민 유입지:§!\n$IMMLIST$
NO_MIGRATIONS_FOUND1_TOOLTIP;프로빈스 소유국: §Y$COUNTRY$§!
NO_MIGRATIONS_FOUND2_TOOLTIP;국가 간 이주가 관측되지 않았습니다.
NO_MIGRATIONS_FOUND3_TOOLTIP;(자세한 정보를 보려면 프로빈스를 선택하십시오)
PROVINCE_VIEW_BUILD_ALL_TOOLTIP;(주의 모든 프로빈스에 건설하려면 Ctrl + 클릭)
EMIGRATION_ENTRY_TOOLTIP;§Y$PROV$§!(으)로 §R$NUM$§!
IMMIGRATION_ENTRY_TOOLTIP;§Y$PROV$§!(으)로부터 §G$NUM$§!
CB_GENERATION_SPEED_BONUS_ON_COLONY_COMPETITION;§Y$REGION$§! 식민지화 과정에서 §Y$COUNTRY$§!와(과) 경쟁 중, 속도 보너스 §Y$BONUS$§!.
CB_GENERATION_BONUS_TOOLTIP;경쟁국 사이의 전쟁 명분 생성 속도 보너스 §Y$BONUS$§!: §Y$COUNTRIES$§!
CB_GENERATION_BONUS_TROOPS_PRESENCE_TOOLTIP;(적군 존재로 인한 §Y$BONUS$§!)
CB_GENERATION_BONUS_OPPONENT_TROOPS_PRESENCE;(군대 존재로 인한 §Y$AGAINST$§!에 대한 §Y$FOR$§!의 §Y$BONUS$§!)
MODIFIER_CB_GENERATION_SPEED_MODIFIER;전쟁 명분 획득 속도
NOT_CONSTRUCTING_CASUS_BELLI_AGAINST;다음에 대한 전쟁 정당성 획득 안 함:
MODIFIER_MOBILIZATION_IMPACT;동원 여파
MOBILIZATION_IMPACT_LIMIT_DESC;§Y$POLICY$§! 전쟁 정책으로 인한 동원 여파 §Y$IMPACT$§!(으)로, 동원되는 부대의 수를 §Y$UNITS$§!(으)로 제한합니다.
MOBILIZATION_IMPACT_LIMIT_DESC2;(현재 모집된 연대 수: §Y$CURR$§!, §Y$IMPACT$§! 곱함)
CONSTRUCTING_CASUS_BELLI_AGAINST;다음에 대한 전쟁 정당성 획득 중:
TRIGGER_CB_CREATION_NOT_DISCOVERED;전쟁 정당성을 날조하지 않음
TRIGGER_CB_CREATION_DISCOVERED;전쟁 정당성을 날조하려 시도함
TRIGGER_CB_PROGRESS_LESS;전쟁 정당성 진행도: §Y$PERCENTAGE$§W
TRIGGER_CB_PROGRESS_ATLEAST;전쟁 정당성 진행도 미만: §Y$PERCENTAGE$§W
TRIGGER_IS_CONSTRUCTING_CB;다음을 위한 전쟁 정당성 획득 중: §Y$TYPE$§W
TRIGGER_IS_NOT_CONSTRUCTING_CB;다음을 위한 전쟁 정당성 획득 안 함: §Y$TYPE$§W
NEED_RELATION_LESS;관계도가 너무 높습니다. §Y$LIMIT$§W 미만이어야 하나 현재 §Y$VAL$§W입니다.
ALREADY_MAKING_CB;우리는 이미 §Y$TARGET$§W에 대한 전쟁 명분을 준비하고 있습니다.
MAKE_CB_BUTTON;전쟁 정당화
MAKE_CB_DESC;이들에 대한 전쟁 정당성을 날조합니다.
MAKE_CBTITLE;전쟁 정당화
MAPMODE_11;RGO 산출량
MAPMODE_12;인구 밀도
MAPMODE_13;민족
MAPMODE_14;세력권
MAPMODE_15;보급 한계
MAPMODE_16;정당 충성도
MAPMODE_17;순위
MAPMODE_18;이주
MAPMODE_20;관계도
WORLD_RANKING;세계 순위:
WORLD_RANKING_SECONDARY_POWER;§Y$COUNTRY$§W(은)는 준열강입니다.
POPULATION_DENSITY_AT_PROVINCE;§Y$PROV$§W의 총 인구:
NATIONALITY_MAJORITY_AT_PROVINCE;§Y$PROV$§W의 다수 민족:
SPHERE_OF_INFL_GREAT_POWER;§Y$COUNTRY$§W(은)는 열강입니다.
SPHERE_OF_INFL_IS_IN_SPHERE;§Y$COUNTRY1$§W(은)는 §Y$COUNTRY2$§W의 세력권입니다.
SPHERE_OF_INFL_IS_INFL_BY;§Y$COUNTRY$§W에 영향을 미치는 국가:
PARTY_LOYALTY_EFFECT_DESC;§Y$PROV$§W의 §Y$PARTY$§W에 대한 충성도 $OPERATOR$ §Y$VALUE$§W.
PARTY_LOYALTY_EFFECT_OPERATOR_ADD;증가량
PARTY_LOYALTY_EFFECT_OPERATOR_REM;감소량
PARTY_LOYALTY_EFFECT_OPERATOR_MUL;곱연산
PARTY_LOYALTY_EFFECT_OPERATOR_SET;설정값
PARTY_LOYALTY_DESC_HEADER;§Y$PROV$§W의 정당 충성도:
PARTY_LOYALTY_DESC_NEUTRAL;중립
PARTY_POPULARITY;정당 인기도
PRICE_HISTORY_TIME_RANGE;최근 $MONTHS$개월
party_loyalty_focus;정당 충성도
fascist_focus;§Y파시즘§! 정당 충성도
reactionary_focus;§Y반동주의§! 정당 충성도
conservative_focus;§Y보수주의§! 정당 충성도
socialist_focus;§Y사회주의§! 정당 충성도
communist_focus;§Y공산주의§! 정당 충성도
liberal_focus;§Y자유주의§! 정당 충성도
anarcho_liberal_focus;§Y무정부적 자유주의§! 정당 충성도
NATIONAL_FOCUS_PARTY_LOYALTY_DESC;일일 충성도 변화량: §Y$VAL$§W.
PARTY_WITH_IDEOLOGY_NOT_EXIST;§Y$IDEOLOGY$§W 이념을 가진 활성화된 정당이 없습니다.
NATIONAL_FOCUS_PARTY_LOYALTY_EFFECT;국가 중점으로 인해 $PARTY$에 대한 충성도가 매일 $VAL$만큼 변화합니다.
SUBSTATE_OF_NOCOLOR;다음에 대한 하위국:
SUBSTATE;하위국
SUBSTATE_JOIN_WAR_DESC;(은)는 §Y$COUNTRY$§W의 하위국이므로 항상 종주국의 전쟁에 참전할 것입니다.
IS_NOT_SUBSTATE_OF;다음에 대한 하위국이 아님:
IS_SUBSTATE_OF;다음에 대한 하위국임:
IS_NOT_SUBSTATE;하위국이 아님
IS_SUBSTATE;하위국임
ANY_SUBSTATE;다음에 대한 모든 하위국:
acquire_substate_region;하위국 지역 획득
acquire_substate_region_desc;적 §Y하위국§W으로부터 지역을 획득
acquire_substate_region_short;$STATE$ 획득
acquire_substate_region_setup;$RECIPIENT$ 위치에서 $STATE$ 획득
become_independent;독립
become_independent_short;$ACTOR$(이)가 $RECIPIENT$(으)로부터 해방됨
become_independent_setup;$ACTOR$(이)가 $RECIPIENT$(으)로부터 해방되어 독립국이 됨.
#become_independent_desc;독립국이 됩니다.
make_puppet;괴뢰국화
make_puppet_short;$RECIPIENT$(이)가 $ACTOR$의 괴뢰국이 됨
make_puppet_setup;$RECIPIENT$(이)가 $ACTOR$의 괴뢰국이 됨
make_puppet_desc;괴뢰국이 됩니다
RALLY_POINT_INFO;이 프로빈스의 §Y집결지§!를 활성화하면 모집이 완료된 인접 부대들이 모두 이 방향으로 향합니다.\n(자세한 내용은 모집 지도 모드를 참조하십시오.)
RALLY_POINT_ENABLE_INFO;이 프로빈스에 집결지를 활성화 또는 비활성화합니다.
RALLY_POINT_MERGE_INFO;목적지에서의 부대 병합을 활성화 또는 비활성화합니다.\n(군대는 지역 보급 한계까지 병합됩니다.)
RALLY_POINT_PROVINCE_INFO;$PROV$(은)는 §Y집결지§!입니다
RALLY_POINT_PROVINCE_MERGE_INFO;모든 모집된 부대는 이곳에 도착할 때 §Y$LIMIT$§!까지 병합됩니다.
CB_ALLOWED_MAKE_PUPPET;괴뢰국화
DIPLOMACY_NEGOTIATE_SUBSTATE;우리는 §Y하위국§W과 협상할 수 없습니다
DIPLOMACY_NEGOTIATE_WE_SUBSTATE;우리가 §Y하위국§W일 경우 다른 국가와 협상할 수 없습니다
DECL_WAR_NO_SUBSTATE;우리는 §Y하위국§W에 선전포고할 수 없습니다
DIPLO_WE_SUBSTATE;우리는 그들의 하위국입니다
DIPLO_THEY_SUBSTATE;그들은 우리 국가의 하위국입니다
SELECT_CB_CREATION_TYPE;날조할 명분의 유형을 선택하십시오
CB_CREATION_DETAIL;§Y$TYPE$§! 전쟁 목표에 대한 선전포고 정당성을 날조합니다. 대략 §Y$DAYS$§!일이 소요됩니다.\n초기에 발각될 경우 얻을 수 있는 최대 악명은 §R$BADBOY$§!입니다.
CB_MANUFACTURE_TECH;전쟁 정당성 효율
CB_CREATE_TECH;전쟁 정당성 효율: $VAL$
SUPPRESSION_TECH_DESC;탄압 효율: $VAL$
CB_CREATION_TIME_DAYS;이 전쟁을 정당화하는 데 약 §Y$DAYS$§!일이 소요됩니다
CB_NOT_ON_PUPPETS;우리는 §Y괴뢰국§W과 §Y하위국§W에 대한 전쟁을 정당화할 수 없습니다.
CB_NOT_ON_SPHERES;우리 세력권에 속한 국가에 대해서는 전쟁을 정당화할 수 없습니다.
NO_WAR_JUSTIFICATION;그들에게 선전포고할 유효한 명분이 없습니다.
NOT_HOSTILE_BUILD;적대적이지 않음
ACW_NAME;분열된 집
ACW_DESC;남부 연합이 미 연방에서 탈퇴하려 시도함에 따라 북아메리카에 내전이 발발했습니다. 결과는 불확실하지만, 양측 모두 철도, 전신, 연발총을 이용할 수 있으므로 이전과는 다른 새로운 형태의 전쟁이 될 것이라는 점은 이미 예견되고 있습니다. 한편, 유럽에서 대영제국은 최초의 철갑 증기 군함 실험을 진행 중이며, 이는 해전을 혁명적으로 변화시킬 결합입니다. 전 세계적으로는 점점 더 많은 국가가 산업화를 시작하면서 산업 혁명이 속도를 내고 있습니다. 그야말로 변혁의 시대입니다.
EVTNAME90000;$CB_TARGET_NAME_ADJ$의 위협
EVTDESC90000;모두가 알다시피, $CB_TARGET_NAME$(은)는 우리를 노리고 있습니다. 그들이 이유 없이 공격을 가해오는 것은 시간문제일 뿐이기에, 우리가 선제적으로 방어 조치를 취하는 것은 극히 합리적입니다. 다행스럽게도, 최근 그들의 사악한 계획을 자세히 서술한 보고서가 언론에 "유출"되었으며, 대중은 우리의 대의에 결집했습니다.
EVTOPTA90000;그들이 바로 우리를 노리고 있다!
EVTNAME90001;$CB_TARGET_NAME$ 파견 임무
EVTDESC90001;매우 당혹스러운 실수로 인해, 국경을 몰래 넘으려던 $CB_TARGET_NAME$ 군복 차림의 우리 병사 몇 명이 붙잡혔습니다. 이들의 임무가 침공을 정당화하기 위한 국경 분쟁의 조작이라는 소문은 전혀 근거 없는 것이지만, 지금 시점에서는 불난 집에 기름을 끼얹는 짓을 피하는 것이 현명할 것입니다.
EVTOPTA90001;도대체 무슨 소리를 하는 건가?
EVTNAME90002;$CB_TARGET_NAME$의 폭정
EVTDESC90002;너무나 오랫동안 사람들은 $CB_TARGET_NAME$의 악의적인 영향력 아래에서 고통받아 왔습니다. 모두의 이익을 위해 우리는 $CB_TARGET_NAME$의 실정 증거를 전 세계에 폭로하고, 그들의 세력권 구성국들을 진정 그들 자신을 위해 우리의 품으로 거두어야 합니다.
EVTOPTA90002;우리가 그들을 구원할 것이다!
EVTNAME90003;$CB_TARGET_NAME$의 폭정
EVTDESC90003;$CB_TARGET_NAME$의 불순한 의도에 대한 전혀 날조되지 않은 명백한 증거가 있음에도 불구하고, 가엾은 소국들을 그들의 세력권에서 구출하는 것에 대한 대중이나 국제 사회의 지지가 전혀 없는 것 같습니다.
EVTOPTA90003;멍청이들!
EVTNAME90004;$CB_TARGET_NAME_ADJ$ 보호
EVTDESC90004;우리와 같은 열강의 보호가 없다면 $CB_TARGET_NAME$에게 어떤 일이든 벌어질 수 있습니다. 그들을 보호하기 위해서는 저들이 일시적으로 반대할지라도 우리의 세력권에 편입시켜야 합니다. 어쨌거나, 만약 저들에게 일말의 판단력이 있었다면 저들 스스로 열강이 되었을 테니까요.
