UNIT_BUILD_TIME_IW;$VAL$일.
BREAKCOUNTRY_MAP;*
BREAKCOUNTRYOTHER_SETUP;다른 국가에서 반란군 파벌이 요구를 관철했을 때
BREAKCOUNTRYOTHER_HEADER;다음 국가의 대사:
BREAKCOUNTRYOTHER_1;$OTHER$
BREAKCOUNTRYOTHER_2;$FACTION$이(가) 다음 국가에서 요구를 관철했습니다:
BREAKCOUNTRYOTHER_3;$OTHER$
BREAKCOUNTRYOTHER_4;$EFFECTS$
BREAKCOUNTRYOTHER_5;*
BREAKCOUNTRYOTHER_6;*
BREAKCOUNTRYOTHER_LOG;$FACTION$이(가) $OTHER$에서 요구를 관철했습니다!
BREAKCOUNTRYOTHER_BTN1;확인
BREAKCOUNTRYOTHER_BTN2;확인
BREAKCOUNTRYOTHER_BTN3;이동
BREAKCOUNTRYOTHER_MAP;*
INVENTION_SETUP;발명을 획득했을 때.
INVENTION_HEADER;다음 항목에 대한 보고:
INVENTION_1;주요 발견
INVENTION_2;우리 국가의 과학자들이 발견을 해냈습니다:
INVENTION_3;$INVENTION$
INVENTION_4;$DESC$
INVENTION_5;효과:
INVENTION_6;$EFFECT$
INVENTION_LOG;우리는 $INVENTION$의 원리를 발견했습니다.
INVENTION_BTN1;확인
INVENTION_BTN2;확인
INVENTION_BTN3;상세 정보
INVENTION_MAP;*
revanchism;복수주의
plurality;다원성
TOPBAR_LEADERSHIP_GAIN_TOOLTIP;우리는 장교들로부터 매월 §Y$CURR$§W의 지휘력을 획득합니다.
UW_AASIGN;지휘관 자동 배치
ATTR_SAFE_RANGE;보급선의 범위 내에 있고 해안에 인접한 함대는 소모를 겪지 않습니다.
TECHNOLOGYVIEW_HAVE_NOT_YEAR;이 기술은 §Y$YEAR$§W년 이전에는 연구를 시작할 수 없습니다.
ENCOURAGEMENT_FOR;장려:
IS_NOT_PRIMARY_CULTURE;§Y$NAME$§W은(는) 주 문화가 아닙니다.\n
IS_PRIMARY_CULTURE;§Y$NAME$§W은(는) 주 문화입니다.\n
IS_NOT_ACCEPTED_CULTURE2;§Y$NAME$§W은(는) 수용 문화가 아닙니다.\n
IS_ACCEPTED_CULTURE2;§Y$NAME$§W은(는) 수용 문화입니다.\n
ALL_COUNTRIES_EFF;모든 국가
ALL_COUNTRIES_THAT_EFF;다음 조건을 만족하는 모든 국가:
GETTING_ONLY_NEEDS;$NEED$만을 얻음: §Y$VAL$%§W
tutorial_chapter_introduction;도입부 종료.
tutorial_end_of_chapter;튜토리얼 장 종료
ISSUE_MOVE_EFFECT;§YFROM§W에 있는 POP의 §Y$PERCENTAGE$%§W가 §YTO§W(으)로 이동합니다
ADD_WARGOAL_EFFECT;이 전쟁 목표를 추가하면 다음을 얻게 됩니다:
ADD_WARGOAL_SUCCESS;이 전쟁 목표를 달성하면 다음을 얻게 됩니다:
ADD_WARGOAL_FAILURE;이 전쟁 목표 달성에 실패하면 다음을 얻게 됩니다:
WARDIALOG_TRUCE;휴전:
WARDIALOG_NOCB;전쟁 명분 없음:
DIPLOMACY_INFAMY2;악명: $VALUE$
DIPLOMACY_PRESTIGE2;위신: $VALUE$
DIPLOMACY_MILITANCY2;투쟁성: $VALUE$
REMOVE_DIPLOMACY_WARDIALOG_ALLIES;§Y$COUNTRY$§W의 동맹국은 다음과 같습니다:
REMOVE_DIPLOMACY_WARDIALOG_NUM_ALLIES;§Y$COUNTRY$§W은(는) §Y$NUM$§W개의 동맹국이 있습니다
DIPLOMACY_WAR_HASTRUCE;§R우리는 §Y$COUNTRY$§R와(과) §Y$DATE$§R까지 휴전 상태입니다. 이들에게 전쟁을 선포하면 우리의 국제적 위신에 심각한 타격을 입게 됩니다
REMOVE_DIPLOMACY_DAILYINFLULENCE_GAIN;우리는 매일 §Y$COUNTRY$§W에 §Y$NUM$§W의 영향력을 얻습니다
tutorial_chapter_budget_victoria;중급 예산 튜토리얼 종료
NO_RELEASEABLE_NATIONS;주권을 부여할 수 있는 국가가 없습니다
DIPLOMACY_CALL_ALLIES_NOT_LEADER;우리는 이 전쟁의 주도국이 아니므로 동맹국을 호출할 수 없습니다
LEDGER_NEXT;다음
LEDGER_PREV;이전
MEC_544;슐레스비히홀슈타인
COUNTRYALERT_CanIncreaseOpinion;우리 국가에 대한 §Y의견 증가§W를 하거나 국가들을 우리의 §Y세력권§W에 편입할 수 있습니다:
COUNTRYALERT_NO_CanIncreaseOpinion;우리 국가에 대한 의견 증가를 하거나 국가들을 우리의 §Y세력권§W에 편입할 수 없습니다
COLONY_SUCCESS_LOG;우리가 성공적으로 $TARGET$을(를) 식민화했습니다.
COLONY_FAIL_LOG;$OTHER$이(가) 우리보다 먼저 $TARGET$을(를) 식민화했습니다.
american_cultures;아메리카 문화권
CANT_USE_LAST_WAR_GOALS;이 전쟁 목표를 선택하면 전쟁이 끝나게 되며, 오직 전쟁 주도국과의 평화 제안에서만 가능합니다
tut_6a_13;벨기에의 산업 생산을 향상시키기 위해 더 많은 산업 노동자가 필요합니다. 직공 아이콘을 클릭하여 이 중점을 설정하세요.
DEN_251;아이슬란드 및 그린란드
CANCELALLIANCE_THEY_ACCEPT_BTN2;확인
CANCELALLIANCE_THEY_ACCEPT_BTN3;이동
tut_1b_19;당분간은 장군을 수동으로 배치할 것입니다. 스파(Spa)에 있는 사단을 선택하세요.
TOPBAR_DEC_SPEED;속도 감소
fort;요새
fort_short;요새
TOPBAR_DEC_SPEED;속도 감소
IS_GREAT_NATION;열강임
NO_DEMOTION;이번 달에는 강등이 없을 것입니다.
NO_PROMOTION;이번 달에는 승격이 없을 것입니다.
INCREASEOPINION_THEY_ACCEPT_MAP;의견 증가됨
INCREASEOPINION_WE_ACCEPT_MAP;의견 증가됨
DECREASEOPINION_THEY_ACCEPT_MAP;의견 감소됨
DECREASEOPINION_WE_ACCEPT_MAP;의견 감소됨
ADDTOSPHERE_THEY_ACCEPT_MAP;세력권 편입됨
ADDTOSPHERE_WE_ACCEPT_MAP;세력권 편입됨
REMOVEFROMSPHERE_THEY_ACCEPT_MAP;세력권에서 제외됨
REMOVEFROMSPHERE_WE_ACCEPT_MAP;세력권에서 제외됨
INCREASERELATION_THEY_ACCEPT_MAP;관계도 증가됨
INCREASERELATION_WE_ACCEPT_MAP;관계도 증가됨
DECREASERELATION_THEY_ACCEPT_MAP;관계도 감소됨
DECREASERELATION_WE_ACCEPT_MAP;관계도 감소됨
WETARGET_DISCREDIT_MAP;신용 훼손됨!
WETARGET_EXPELADVISORS_MAP;고문단 추방됨!
WETARGET_BANEMBASSY_MAP;대사관 금지됨!
WETARGET_DECREASEOPINION_MAP;의견 감소됨!
WETARGET_REMOVEFROMSPHERE_MAP;세력권에서 제외됨!
womens_suffrage_movement;여성 참정권 운동
WAR_GOOD_RELATION;좋은 관계(§Y$REL$§W)와 평균적인 의식(§Y$CON$§W):
make_slave;노예 주 창설
make_free;자유 주 창설
POP_OTHER_CULT;기타
BLOCKADED_PEACE;봉쇄됨
PRODUCTION_DESTROY_FACTORY_BECAUSE_TOOLTIP;이 공장을 파괴할 수 있는 이유는 다음과 같습니다:\n
PRODUCTION_NOT_DESTROY_FACTORY_BECAUSE_TOOLTIP;이 공장을 파괴할 수 없는 이유는 다음과 같습니다:\n
RULE_DESTROY_FACTORY;공장 파괴
INCREASE_RELATION_MAX;다음 국가와 더 이상 관계를 우호적으로 만들 수 없습니다:
DECREASE_RELATION_MAX;우리는 다음 국가와 더 이상 관계가 나빠질 수 없습니다:
BANKRUPTCY_SETUP;우리 국가가 파산했을 때
BANKRUPTCY_HEADER;$MESSENGER$
BANKRUPTCY_1;참으로 참담한 상황입니다!
BANKRUPTCY_2;우리는 파산을 선언할 수밖에 없었습니다.
BANKRUPTCY_3;우리의 모든 대출이 청산되었지만,
BANKRUPTCY_4;이는 우리 국민들 사이에 큰 우려를 불러일으켰고
BANKRUPTCY_5;국제 사회의 눈에 비친 우리의 위신을 상당수 잃게 만들었습니다.
BANKRUPTCY_6;앞으로 은행들은 우리에게 자금을 대출해 주는 것을 더 주저하게 될 것입니다.
BANKRUPTCY_LOG;우리 국가는 파산했습니다.
BANKRUPTCY_BTN1;참으로 좋지 않은 소식이군
THEY_BANKRUPTCY_SETUP;다른 국가가 파산했을 때
THEY_BANKRUPTCY_HEADER;$MESSENGER$
THEY_BANKRUPTCY_1;파산!
THEY_BANKRUPTCY_2;$COUNTRY$(이)가
THEY_BANKRUPTCY_3;파산을 선언할 수밖에 없었던 모양입니다.
THEY_BANKRUPTCY_4;*
THEY_BANKRUPTCY_5;*
THEY_BANKRUPTCY_6;*
THEY_BANKRUPTCY_LOG;$COUNTRY$(이)가 파산했습니다.
THEY_BANKRUPTCY_BTN1;확인
LIT_CHANGE;월간 변화량
precious_metal_desc;귀금속은 일반 상품처럼 판매되지 않고 직접 화폐로 변환됩니다.
DIPLOMACY_CANNOT_SET_PRIO_BANNED;우리 대사관이 추방되었으므로 이 국가에 외교 영향력을 행사할 수 없게 되었습니다
PROV1723;발보아
PROV353;외셀
MILITARY_MOBILIZE;국군 동원
MILITARY_MOBILIZE_DESC;전쟁 발발 시, 우리나라는 상비군 외에도 징집병의 형태로 추가적인 자원을 동원할 수 있습니다. 동원령을 내리면 우리의 징집군이 주요 인구 밀집 지역에 집결하기 시작하여 전면전에 대한 준비에 들어갈 것입니다. 동원은 거대한 규모의 적의 침공을 극복하는 데에 반드시 필요할 수 있지만, 우리는 그것이 국가 경제에 미칠 영향에 대해 항상 주의해야 합니다.
MILITARY_DEMOBILIZE;국군 동원 해제
MILITARY_DEMOBILIZE_DESC;대기 명령을 내려 동원을 해제하면, 우리의 징집군은 전장에서 물러나 고향으로 돌아가게 될 것입니다. 전쟁의 고난으로 인해 피폐해진 국가는 당연히 일상으로 돌아가기를 간절히 열망하지만, 그 검을 칼집에 다시 꽂아 넣기 전에 먼저 확실히 전쟁에서 승리했는지부터 확인하는 것이 좋을 것입니다.
BE_TECH;기술:
BE_INVENT;발명:
TOPBAR_DIPLOPOINTS_GAIN;우리는 매월 §Y$VALUE$§W의 외교력을 획득합니다
TOPBAR_DIPLOPOINTS_BASEGAIN;기본 획득량: 외교력 §Y$VALUE$§W
MOBILISE;동원
DEMOBILISE;동원 해제
BE_INVENT;발명:
THE_WORLD_IN;$YEAR$년의 세계
TECHNOLOGY_ACTIVATION_YEAR;활성화 연도:
TECHNOLOGY_RESEARCH_POINTS;연구 점수:
tut_8c_12;빅토리아 2에서는 플레이어가 시작하는 모든 전쟁에 전쟁 목표를 반드시 설정해야 합니다. 전쟁 선포 팝업창의 오른쪽에 보이는 전쟁 목표만 선택할 수 있습니다. 차후 평화 협정 시 요구할 수 있는 것은 이 전쟁 목표뿐이라는 점을 명심하십시오. \n 전쟁 표시 화면을 클릭하여 전쟁 목표를 확인하십시오.
tut_6b_14;이제 다음을 클릭하여 계속하십시오.
tut_8a_7;영국과 동맹을 맺기 위해서는 외교적 행동을 취해야 합니다. 외교적 행동은 동맹 요청에서부터 전쟁 선포에 이르기까지 그 어떤 것도 될 수 있습니다. 외교적 행동을 이행하려면 매월 누적되는 외교력이 필요합니다. 상단 바의 외교 항목 아래를 보면, 동맹 결성 행동에 소모되는 1점 이상의 외교력이 충분히 있음을 확인할 수 있습니다. 어서 빨리 동맹 결성 행동을 누른 다음 '수락' 버튼을 눌러 영국에 단호히 동맹을 제안하십시오.
TEMP_NEXT;다음
BUDGET_EXPORTS;국가 비축량 판매: §Y$VAL$§W
BUDGET_IMPORTS;국가 비축량 구매: §Y$VAL$§W
bad_debter;악성 채무국
bad_debter_desc;당신 국가의 불안정한 경제 역사로 인해 은행들은 대출에 훨씬 더 높은 이자를 요구할 것입니다.
MUST_NEGOTIATE_WITH_WAR_LEADER;우리가 이 전쟁을 주도하고 있지 않다면 적 §Y전쟁 주도국§W과 협상해야 합니다
BAD_ADJ;바덴
WAR_LEADER;§Y전쟁 주도국§W
MUST_NEGOTIATE_WITH_WAR_LEADER_NO_LEFTOVER_WARGOALS;지금 당장 §Y$COUNTRY$§W(와)과 평화 협정을 맺게 되면 이 전쟁이 끝날 것이기에, 우리는 반드시 적 §Y전쟁 주도국§W과 협상해야 합니다
WARGOAL_DEMAND;§Y$COUNTRY$§W(이)가 §Y$ENEMY$§W에게 다음 사항을 요구합니다
POP_DETAILS_PROMOTIONS;승격:
POP_DETAILS_DEMOTIONS;강등:
NO_WAR_SPHERE_LEADER;세력권의 종주국을 상대로는 결코 전쟁을 벌일 수 없습니다.
EVTNAME15310;플라잉 대학
GO_TO_DIPLOMACY;외교 창으로 이동
PROVINCE_CONTROL_DAYS_LATER_THAN;지난 §Y$DAYS$§W일 동안 프로빈스 통제권이 변경되지 않았습니다.\n
PROVINCE_CONTROL_DAYS;지난 §Y$DAYS$§W일 동안 프로빈스 통제권이 변경되었습니다.\n
ENFORCE_DEMANDS_TRIGGER;다음 조건이 성립되면 이 반란군이 모두 승리할 것입니다:
tut_1a_40;이동 화살표가 보이면 일시 정지를 해제하여 게임을 진행하십시오.
EVTNAME15060;제1 농민 은행
POLITICS_REFORMS;개혁
POLITICS_RELEASE_NATIONS;국가 해방
MILITARY_LEADER_NAME_TOOLTIP;§Y$NAME$§W(이)가 §Y$LOCATION$§W에서 §Y$ARMY$§W(을)를 지휘하고 있습니다
hms_government;의회 입헌군주정
EVTNAME19310;천명
EVTDESC19310;'천명'은 서구의 왕권신수설과 유사한 중국 철학의 개념으로, 역사적으로 군주의 권력을 정당화하고 고취하는 데에 꾸준히 사용되어 왔습니다. 최근 우리나라가 열강의 지위에 오르게 되면서 우리 신민들은 상제께서 우리 정부에게 천명을 온전히 내리셨다고 다시 한번 확신하게 되었습니다.
EVTOPTA19310;훌륭하다!
EVTNAME19320;태양의 제국
EVTDESC19320;뜨는 해의 나라, 일본. 외세의 흑선이 우리 해안에 처음 나타난 이후 지난 꽤 오랜 세월 동안, 우리 국가는 우리보다 훨씬 강대하고 위대한 열강들의 항적을 따라 조용히 항해해 왔습니다. 하지만 최근 우리가 고대하던 열강의 지위에 오르면서 운명의 흐름이 뒤바뀌었습니다. 이제부터 열강 일본의 참으로 신성한 해안으로 감히 밀려드는 불경한 외세의 파도를 우리의 바람으로 모두 격퇴하고 산산조각 내버립시다!
EVTOPTA19320;만세!
form_union_nation_title;$CULTURE_GROUP_UNION$ 형성
form_union_nation_desc;우리의 같은 문화권 형제들 사이에서의 압도적이고 지배적인 위치는 우리로 하여금 $CULTURE_GROUP_UNION$(을)를 형성할 수 있는 자리로 이끌었습니다.
BE_SECOND_RANK;준열강
COUNTRYALERT_HasUnemployedWorkers;다음 주에 실업 상태인 직공이 있습니다:
REMOVE_TOPBAR_POPULATION;우리의 성인 남성 인구수는 $CURR$명입니다. 성인 남성 인구수는 매월 약 $CHANGE$명씩 변동하고 있습니다.
TOPBAR_POPULATION_VISUAL;우리의 총 인구수는 $CURR$명입니다.
BUILD_COLONIAL;비식민 주
EVTNAME60080;노예의 길
EVTDESC60080;근래 $COUNTRY$(이)가 침묵 속으로 서서히 빠져들고 있다는 오싹한 느낌이 계속 엄습해 오고 있습니다. 과거에는 길모퉁이부터 버스 정류장, 술집, 그리고 대학교에 이르기까지 어딜 가더라도 의견과 사상의 자유로운 교환을 흔히 들을 수 있었던 곳에, 이제는 침묵의 메아리만이 울려 퍼질 뿐입니다. 갈수록 뚜렷해지고 있는 결론은 $COUNTRY_ADJ$ 민주주의의 전통이 그야말로 완벽히 전복되었다는 사실입니다. 적어도 $COUNTRY$에서만큼은 국민의, 국민에 의한, 국민을 위한 정부가 이 땅에서 사라졌습니다.
EVTOPTA60080;으하하하!
EVTNAME14210_sub;그 사람들이 외치는 말은 오직 '평화에게 기회를 달라!'는 것뿐입니다!
EVTNAME14040;사랑과 전쟁
REL_SPHERE_OF_INFLUENCE;세력권 내
status_quo_short;현상 유지
TOTAL_AMOUNT_OF_SHIPS;총 함선 수: $COUNT$
LESS_AMOUNT_OF_SHIPS;다음보다 적은 함선 수: $COUNT$
tut_3a_21b;대출받기 버튼을 꾹 누르고, 슬라이더를 원하는 금액이 될 때까지 쭉 당긴 다음 확인을 눌러 대출을 직접 한 번 받아보십시오.
REVANCHISM_EXPLANATION;'복수'를 의미하는 프랑스어에서 유래한 보복주의는 과거 국가가 상실했던 영토를 되찾고자 하는 끓어오르는 열망입니다. 사랑과 전쟁, 그리고 평화 시기를 막론하고 우리 국민은 신성한 영토를 다시 되찾기 위해 더 큰 희생조차 기꺼이 감수할 것입니다.
EVTNAME14120_sub;지방 선거에서 불거진 종교 정책 논쟁
tut_8c_10;하지만 순위가 떨어진다고 하더라도 결코 너무 늦은 것은 아닙니다. 제때 경고를 받게 될 것이고 그 경고를 토대로 문제를 해결해 볼 수 있으니까요. 이 끔찍한 재앙을 피할 방법 중 하나는, 당연하게도 전쟁입니다. 본국의 위신을 극적으로 높이는 전쟁이나 타국의 위신을 무참히 낮추는 전쟁 중 어느 쪽이든 상관없습니다. 전쟁에 대해 조금 더 이야기해 보겠습니다. 프랑스를 찾아 전쟁을 선포해 보십시오. 이 과정은 전쟁 선포를 클릭하고, 전쟁 목표를 선택한 뒤 '확인'을 클릭하기만 하면 쉽게 완료할 수 있습니다.
BE_GREAT_POWER;열강
DIPLOMACY_GREATNATION_STATUS;열강
WE_NO_LONGER_GREAT_POWER_2;부로 열강의 지위를 다음 국가에게 내주었습니다:
THEY_NO_LONGER_GREAT_POWER_3;부로 열강의 지위를 다음 국가에게 내주었습니다:
WE_BECAME_GREAT_POWER_2;부로 이제 열강으로 간주됩니다!
SERVER_LOST_DESC;서버와의 연결이 끊어졌습니다. 게임을 저장하거나 계속을 선택하여 이 창을 닫을 수 있습니다. 게임을 계속 이어서 하려면 완전히 종료한 후 호스트를 다시 설정해야 합니다.
MODIFIER_GLOBAL_POP_MILITANCY_MODIFIER;POP 투쟁성
MODIFIER_GLOBAL_POP_CONSCIOUSNESS_MODIFIER;POP 의식
global_liberal_agitation;자유주의자들의 거센 선동
desc_global_liberal_agitation;선동가들이 자유주의와 혁명의 대의명분을 앞세우며 강변하고 있습니다.
EDU_DESC;교육 예산은 성직자들에게 급여를 충실히 지급하고 새로운 연구 점수를 생산해 내는 데 사용됩니다.
ADM_DESC;행정에 공을 들여 예산을 지출하면 관료들이 더욱 건전한 관료제를 체계적으로 운영하고 유지하여 국가 전반의 조세 효율을 높일 수 있습니다.
COMBATEND_INITIAL;초기
COMBATEND_CASUALTIES;사상자
COMBATEND_SURVIVORS;생존자
cavours_diplomacy_title;카보우르의 외교
cavours_diplomacy_desc;사르데냐 왕국의 총리였던 카보우르 백작 카밀로 파올로 필리포 줄리오 벤소는 이탈리아 통일 운동의 매우 중추적인 핵심 인물이었으며, 그의 뛰어난 개인적 외교 노력은 제2차 이탈리아 독립 전쟁 당시 오스트리아에 굳건히 대항하기 위한 나폴레옹 3세의 프랑스 지원을 성공적으로 이끌어낸 것으로 널리 평가받고 있습니다.
EVTNAME36898;빅토리아 여왕의 대관식
EVTDESC36898;1838년 6월 28일, 하노버 왕가의 아름다운 알렉산드리나 빅토리아 공주가 그레이트브리튼 아일랜드 연합 왕국의 왕좌에 올라 '빅토리아 여왕'으로서 공식적으로 즉위했습니다. 20세기가 시작된 후에도 몇 년 동안 길게 이어진 그녀의 빛나는 치세는 세계 어디서나 결코 해가 지지 않았던 대영제국의 최전성기로 역사에 기억될 것입니다. 하노버 가문의 마지막 영국 군주였던 그녀의 즉위는 동시에 영국과 하노버 간의 길었던 동군 연합이 종식되었음을 온 천하에 알린 것이기도 했습니다. 런던의 환희에 찬 인파들이 젊은 빅토리아 여왕이 거처할 새롭게 지어진 버킹엄 궁전으로 그녀를 성대히 호위하고 나섰습니다.
EVTOPTA36898;빅토리아 레지나!
RELEASE_VASSAL_EFFECT;§Y$TARGET$§W 해방\n
EVTDESC15310;그녀가 $COUNTRY_ADJ$ 병사인 양 드리워진 그림자들을 이리저리 피하며 조용히 도시를 가로지르는 동안, 밝게 빛나는 교회의 시계탑이 마치 악의로 가득하고 끔찍하게 감염된 노란 눈깔처럼 그녀를 매섭게 노려보는 것 같았습니다. 그녀는 이미 많이 늦었지만, 수업은 다행히 한창 진행 중입니다.\n\n학계 내에서의 소수 민족 언어 사용이 엄격히 금지되었음에도 불구하고, 고등 교육을 비밀리에 제공하는 지하 대학이 $PROVINCENAME$에 설립되었습니다.
EVTNAME11100;$FROMCOUNTRY_ADJ$ 의회
EVTDESC11100;위대한 $CULTURE_GROUP_UNION$의 땅에 휘몰아치며 걷잡을 수 없이 고조되는 자유주의적 민족주의의 물결이 결국 $FROMCOUNTRY$ 정부를 완전히 무너뜨리고야 말았습니다. $CULTURE_GROUP_UNION$ 전역에서 모두 모인 대표자들이 참여하는 자유주의 혁명가들의 의회가 긴장 속에 소집되어, 한 깃발 아래 통합된 국가를 구성할 때가 드디어 왔음을 만천하에 선포했습니다. 의회는 이렇게 통합된 $CULTURE_GROUP_UNION$의 자랑스러운 왕관을 우리에게 제안했습니다. 우리는 이 대단한 제안을 수락할 수도 있지만, 그렇게 될 경우 크나큰 국제적 경각심을 불러일으킬 뿐만 아니라 정치적으로도 혁명가들에게 적절히 보상해 주어야만 통치가 수월할 것입니다.
EVTOPTA11100;우리 모두 축배를 들자꾸나!
EVTOPTB11100;시궁창에서 주워 온 왕관은 결코 받지 않겠다.
IS_IN_A_SPHERE;세력권에 편입되어 있습니다
EVTNAME16070;파이어 이터
