#Powered_by_ParaTranz
post_napoleonic_army_doctrine;后拿破仑时期军事思想
clericalism_vs._anticlericalism;教权主义与反教权主义
bureaucracy_vs._nepotism;官僚主义与裙带关系
meritocracy_vs._aristocracy;精英政治与贵族政治
national_fraternity;国民友爱
biased_multiculturalism;有偏见的多元文化
manifest_destiny;昭昭天命
expansionism;扩张主义
mission_to_civilize;开化使命
separatism;分离主义
dogma_of_violence;暴力原则
dogma_of_mass_action;群众运动
terrorism;恐怖主义
secret_police;秘密警察
womens_suffrage_movement;妇女选举权运动
rhetoric_of_hate;仇恨煽动
nostalgic_romanticism;怀旧浪漫主义
anti_egalitarianism;反平等主义
vangaurd_party;先锋党
the_doctrine_of_fascism;法西斯理论
paramilitary_groups;准军事组织
the_police_state;警察国家
mass_advertising;大众传媒
national_radio_networks;国家广播网
the_talkies;有声电影
daimlers_automobile;戴姆勒汽车
wright_n_langleys_aeroplanes;莱特与兰利的飞机
tractors;拖拉机
direct_current;直流电
alternating_current;交流电
polyphase_system;多相系统
sharp_n_roberts_power_loom;夏普与罗伯特的动力织布机
jacquard_power_loom;雅卡尔提花织布机
northrop_power_loom;诺斯洛普自动织布机
mechanical_saw;机械锯
mechanical_precision_saw;精密机械锯
hussey_n_mccormicks_reaping_machine;赫西与麦考密克的收割机
pitts_threshing_machine;皮特脱粒机
mechanized_slaughtering_block;机械化屠宰
precision_work;精细加工
machine_tools;机床
whitney_n_colts_standardized_small_arms;惠特尼与柯尔特的标准化轻武器
food_packing_system;食品包装系统
integral_distillery_process;改良酿酒工艺
jiggs;夹具
electric_machinery;电气化
oil_pumping_machinery;油泵
drying_techniques;干燥技术
fordism;福特制度
industrialized_armament_industry;军火工业
refrigerator_technology;冷藏技术
ammunition_production;弹药生产
small_arms_production;轻武器生产
explosives_production;炸药生产
artillery_production;大炮生产
pit_coal;沥青煤
coke;焦炭
advanced_ore_roasting_processes;先进矿石烘焙工艺
advanced_ore_grinding_processes;先进矿石研磨工艺
advanced_ore_smelting_processes;先进矿石熔炼工艺
bessemer_steel;转炉
martin_steel;平炉
thomas_steel;碱性转炉
electric_rolling_techniques;电动轧制技术
steel_alloys;合金钢
stainless_steel;不锈钢
combat_medicine;军用药物
aerial_bacteria_and_antiseptic_principle;细菌与抗菌剂
vaccination;种痘
chemotherapy;化疗
genetics:_heredity;遗传学
clinical_thermometers_and_binaural_stethoscopes;体温计和听诊器
prophylaxis_against_malaria;疟疾预防药物
pressure_chambers_for_thorax_surgery;胸外科加压房
artificial_fertilizers;化学肥料
nitroglycerin;硝化甘油
chemical_wood_pulp_process;纸浆工艺
rubber_vulcanization;硫化橡胶
catalytic_fermentative_process;催化发酵技术
synthetic_dye;人工合成染料
gaslights;煤气灯
carbon_soil_enrichment;碳肥
cracking;裂化
x_rays;X射线
edison_light_bulb;爱迪生电灯
bell_n_greys_telephones;贝尔和格雷的电话
electrical_lighting;电气照明
rayon;人造丝
bakelite;电木
vacuum_tube;电子管
tulls_seed_drill;杰斯洛·图尔播种机
rotherham_plough;罗瑟勒姆犁
telephone_switchboard;电话交换机
torpedo_attacks;鱼雷攻击
long_range_fire_tactic;远距离炮击战术
speedy_maneuvering_tactic;快速运动战术
sealane_hunters;航线狩猎者
fast_ship_killer;快船杀手
big_ship_competitor;大舰竞争者
standard_raider_group_doctrine;标准袭击集群学说
blue_water_school;蓝水海军学派
brown_water_school;绿水海军学派
offensive_attitude;进攻性海军
defensive_attitude;防御性海军
decisive_firepower_doctrine;舰队决战学说
naval_firepower_doctrine;海军火力学说
building_station_shipyards;建造固定船坞
mechanized_fishing_vessels;机械化渔船
steamer_automatic_construction_plants;自动化轮船建造工厂
steamer_transports;蒸汽运输船
commerce_raiders;商掠快船
ironclads;铁甲舰
monitors;重型炮艇
torpedo_boats;鱼雷艇
protected_cruisers;装甲巡洋舰
pre_dreadnought;前无畏舰
dreadnoughts;无畏舰
advanced_cruisers;先进巡洋舰
modern_cruisers;现代巡洋舰
advanced_battleships;先进战列舰
modern_battleships;现代战列舰
optical_rangefinders;光学测距仪
gyrostabilized_fire_control;陀螺稳定的火力控制
armour_piercing_projectiles;穿甲弹
armour_piercing_exploding_projectiles;穿甲爆破弹
armoured_turrets;装甲炮塔
bomb_guns;后膛曲射炮
rifled_guns;线膛炮
quick_firing_guns;速射炮
armoured_citadels;装甲炮台
heavy_caliber_guns;大口径火炮
on_board_recon_aircraft;舰载水上侦察机
gun_hydraulics;火炮液压系统
heavy_armour_plates;重装甲板材
large_hull_form;巨型船体
wireless;无线电
advanced_fire_control;先进海军火控系统
15_inch_main_armament;15英寸主炮
night_training;夜间训练
enemy_plotting_cards;敌舰识别卡
target_hit_profile_analysis;目标打击方案分析
hit_evaluation_reports;打击评估报告
empirical_interdiction_reports;经验性截击行动估计
naval_strike_success_criterium;成功海上打击规范
underway_refueling;海上补给
ammunition_conservation_system;弹药保存系统
radio_telegraphy;无线电报
political_lobbying;政治游说
military_political_decision_making;军政决策
local_military_government;当地军事政府
war_gamming;作战模拟
combined_arms_planning;混合部队计划
academic_training;军校培训
combat_station_training;作战岗位培训
societal_status;社会地位
independent_command;独立指挥
continuous_issuing_of_orders;连续传递命令
delegated_power;权利委任
wargames;战争游戏
alternative_plans;交替计划
n_saddle_orders;快速传令
literate_ncos;文职军士
nco_combat_station_training;军士作战岗位培训
nco_tactical_training;海军军士战术培训
amphibious_warfare_training;两栖作战训练
naval_exercises;海军演习
