#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
BP_TOOL_ARROW_SLIM_DASHED;细虚箭头;;;;;;;;;;;;x
BP_OPEN_TOOLTIP;开启/关闭作战计划编辑。;;;;;;;;;;;;x
BP_TOGGLE_TOOLTIP;显示/隐藏现有作战计划。;;;;;;;;;;;;x
EVTOPTC23212;一颗被殖民的彗星一定可以成为一颗好卫星！;;;;;;;;;;;;x
liberate_liberia_title;解放利比里亚;;;;;;;;;;;;x
liberate_liberia_desc;总督约瑟夫·詹金斯·罗伯茨宣布利比里亚共和国独立。正在运作着相邻的塞拉利昂地区的英国把利比里亚联邦与其创始组织美国殖民协会当作“偷盗者”，不承认其能够行使主权。因此正式独立的相关程序被认为是急需的。尽管得到了美国政府的批准，新共和国国会的正式外交承认却由于内战而一拖再拖。;;;;;;;;;;;;x
liberian_constitution_title;利比里亚宪法;;;;;;;;;;;;x
liberian_constitution_desc;曾经只是一个微不足道的殖民地的利比里亚已于近年成长得足够壮大，足以追求其成为自由、自主、独立国家的理想。一份新宪法草案已经准备好面对公民投票。该宪法保证了基本的公民权利并建立了类似美国宪法的分权原则，代表着这个刚刚宣布独立的国家真正地从美国政府与组织下分离。;;;;;;;;;;;;x
liberian_research_boost;利比里亚研究加成;;;;;;;;;;;;x
desc_liberian_research_boost;我们正享受着独立带来的福利，我们的新国家迈向现代化的速度从未如此之快。;;;;;;;;;;;;x
form_scandinavia_NEWS_LONG;北欧诸国在一起成立了斯堪迪纳维亚民族国家。一批主要由金发碧眼男女组成的群众如事先申请地，于星期三下午5时填满了斯德哥尔摩的中央广场，他们在现场有序地发出赞同新政治环境的声音。握手、尊重性的鼓掌、点头赞同，伴随着夜晚降临，秩序也毫不松散。晚9时，群众接受政府的严格要求，逐渐散去。警察报告说一名在家外喊出“斯堪的纳维亚万岁”的男子已得到无罪释放。;;;;;;;;;;;;x
form_scandinavia_NEWS_MEDIUM;北欧诸国在一起成立了斯堪迪纳维亚民族国家。一批主要由金发碧眼男女组成的群众如事先申请地，于星期三下午5时填满了斯德哥尔摩的中央广场，他们在现场有序地发出赞同新政治环境的声音。;;;;;;;;;;;;x
form_scandinavia_NEWS_SHORT;北欧诸国在一起成立了斯堪迪纳维亚民族国家。一批国民有礼貌地以发言或点头表达他们对新政治环境的赞同。;;;;;;;;;;;;x
form_germany_NEWS_LONG;德意志土地上的人民终于再次团结在了一起。在周一柏林的庆典上，国家统一的宣告后随之而来的是狂热的喊叫和震耳的万岁。自从拿破仑时代德意志民族主义兴起以来，许多政治家就将德国统一看得不可避免。然而，有一种恐惧正在外交家间蔓延，他们害怕这一庞然大物可能颠覆大陆的势力平衡。如果新生的德国挑战目前的安全体制的话，其人口与工业实力将足以在欧洲掀起一场范围前所未有的大战。;;;;;;;;;;;;x
form_germany_NEWS_MEDIUM;德国人民团结在了一起。在周一柏林的庆典上，国家统一的宣告后随之而来的是狂热的喊叫和震耳的万岁。有一种正在蔓延的恐惧认为这一庞然大物可能颠覆大陆的势力平衡并掀起一场范围前所未有的大战。;;;;;;;;;;;;x
form_germany_NEWS_SHORT;德意志土地上的人民终于再次团结在了一起。周末在柏林一场豪华的庆典上，国家统一的宣告后随之而来的是狂热的喊叫和震耳的万岁。;;;;;;;;;;;;x
form_italy_NEWS_LONG;意大利统一了。人民起而欢呼，一同宣告新国家的成立。在一片欢腾的狂热气氛下，政治家与高官迎合着人民的愿望，对新国家的统一称赞不已。有人担忧意大利可能会尝试夺走那些被认为理应属于意大利人的土地，尽管也有有教养的人说新国家还没有力量威胁其邻国。“我们将夺回我们的土地！意大利万岁！”一名男子在一卷报纸上如此宣言道。;;;;;;;;;;;;x
form_italy_NEWS_MEDIUM;意大利统一了。人民起而欢呼，一同宣告新国家的成立。在一片欢腾的狂热气氛下，政治家与高官迎合着人民的愿望，对新国家的统一称赞不已。有人担忧意大利可能会尝试夺走那些被认为理应属于意大利人的土地，尽管也有有教养的人说新国家还没有力量威胁其邻国。“我们将夺回我们的土地！意大利万岁！”一名男子在一卷报纸上如此宣言道。;;;;;;;;;;;;x
form_italy_NEWS_SHORT;意大利终于统一了。“意大利人将夺回原本属于其的土地！意大利万岁！”一名胡子拉渣的男子昨日通过一卷报纸如此说道。;;;;;;;;;;;;x
the_meiji_restoration_NEWS_LONG;西方影响对日本的渗透伴随着最近的一系列事件达到了高潮。数百年的封建制度转瞬之间瓦解，皇帝在东京重掌权力。周三，将军被赶下台后，一个被称作“明治”的预示着社会、政治与经济变革的时代拉开了序幕。在开明管理之下，光明的未来在前方等待着日出之国。尽管也有人表示害怕新生的日本可能最终会挑战欧洲人在亚洲的利益。;;;;;;;;;;;;x
the_meiji_restoration_NEWS_MEDIUM;西方影响对日本的渗透伴随着最近的一系列事件达到了高潮。数百年的封建制度转瞬之间瓦解，皇帝在东京重掌权力，明治时代开始了。有人表示害怕新生的日本可能最终会挑战欧洲人在亚洲的利益。;;;;;;;;;;;;x
the_meiji_restoration_NEWS_SHORT;西方影响对日本的渗透伴随着最近的一系列事件达到了高潮。数百年的封建制度转瞬之间瓦解，皇帝在东京重掌权力，明治时代开始了。;;;;;;;;;;;;x
kiel_canal_NEWS_LONG;商业与海军利益的结合促使$TAG0_0$考虑建造一条连接波罗的海与北海的人工水道，这样船只也不必环绕日德兰半岛，穿过波涛汹涌的海洋了。61英里长的运河被认为很快会成为世界上最繁忙的人工水道之一。;;;;;;;;;;;;x
kiel_canal_NEWS_MEDIUM;61英里长的基尔运河被认为很快会成为世界上最繁忙的人工水道之一。该工程为商业提供了新的动力，并证明一国之强盛可以通过制造业、贸易和工程实现，而不是战争与征服。;;;;;;;;;;;;x
kiel_canal_NEWS_SHORT;61英里长的基尔运河被认为很快会成为世界上最繁忙的人工水道之一。该工程为所有沿海国家的商业提供了新的动力。;;;;;;;;;;;;x
suez_canal_NEWS_LONG;这是$TAG0_0$的胜利之日，有史以来第一次有船成功地通过新开的运河穿过苏伊士地峡。102英里长与26英尺深的苏伊士运河是一个真正的现代工程学奇迹，被认为很快会成为世界上最繁忙的航道之一，这将促使航运费下降并有利于全球商业的发展。“通行费将永远无法填补维护费，绕过非洲的航线让将占主导地位。”怀疑者这样宣称道，试图缩减该发展的重要性。;;;;;;;;;;;;x
suez_canal_NEWS_MEDIUM;这是$TAG0_0$的胜利之日，有史以来第一次有船成功地通过新开的穿过苏伊士地峡。102英里长与26英尺深的苏伊士运河是一个真正的现代工程学奇迹，被认为很快会成为世界上最繁忙的航道之一。;;;;;;;;;;;;x
suez_canal_NEWS_SHORT;这是$TAG0_0$的胜利之日，有史以来第一次有船成功地通过新开的长102英里、深26英尺的运河穿过苏伊士地峡。;;;;;;;;;;;;x
panama_canal_NEWS_LONG;横贯巴拿马地峡的运河的开通为$TAG0_0$带来了自豪的一日。该运河长48英里，事实上是一个高于海平面85英尺的带闸水道，在其两端有一些最错综复杂的船闸。运河被建造在全世界最不利于人类健康的地区之一，所以它不仅是现代工程学更是现代医学的里程碑。巴拿马运河被认为将很快成为国际海洋贸易的一个枢纽，专家还称它将会在战时为其控制者提供很大的战略优势。;;;;;;;;;;;;x
panama_canal_NEWS_MEDIUM;横贯巴拿马地峡的运河的开通为$TAG0_0$带来了自豪的一日。该运河长48英里，事实上是一个高于海平面85英尺的带闸水道。被建造在全世界最不利于人类健康的地区之一的巴拿马运河是现代工程学以及医学的里程碑。;;;;;;;;;;;;x
panama_canal_NEWS_SHORT;横贯巴拿马地峡的运河的开通为$TAG0_0$带来了自豪的一日。该运河长48英里，事实上是一个高于海平面85英尺的带闸水道，在其两端有一些最错综复杂的船闸。;;;;;;;;;;;;x
empress_of_india_NEWS_LONG;德里的“帝国杜尔巴”结束后，在特拉法加广场的纪念柱脚下一份皇家公告被朗读，宣布维多利亚女王被冠以“印度女皇”的头衔。自从莫卧儿皇帝被英国东印度公司废黜以来印度就没有一位统治者获得过皇帝的桂冠。公司的权力被解除后，有种观点受到普遍传播，认为女王相对于印度王公的优越性应该以皇帝头衔的形式得到确认。首相本杰明·迪斯雷利据信是这个主意的设计者。;;;;;;;;;;;;x
empress_of_india_NEWS_MEDIUM;德里的“帝国杜尔巴”结束后，在特拉法加广场的纪念柱脚下一份皇家公告被朗读，宣布维多利亚女王被冠以“印度女皇”的头衔。皇帝头衔确认了女王相对于许多印度王公的优越性。;;;;;;;;;;;;x
empress_of_india_NEWS_SHORT;德里的正式的“帝国杜尔巴”结束后，在特拉法加广场的纪念柱脚下一份皇家公告被朗读，宣布维多利亚女王被冠以“印度女皇”的头衔。;;;;;;;;;;;;x
COUNTRYALERT_ColonialGood_invest;我们可以投资我们的?$REGION$殖民地?;;;;;;;;;;;;x
aar_fake1_title;蒙面的正义使者;;;;;;;;;;;;x
aar_fake1;最近在我们的首都出现了一些私自打击犯罪的活动，始作俑者是一个身穿猫装并自称“猫人”的家伙，他四处奔走对付犯罪者。;;;;;;;;;;;;x
aar_fake2_title;高斯去世;;;;;;;;;;;;x
aar_fake2;昨日德国著名数学家卡尔·弗里德里希·高斯去世。数学家们将永远铭记他。他称数学是“科学的女王”。;;;;;;;;;;;;x
aar_fake3_title;责任政府！;;;;;;;;;;;;x
aar_fake3;1848年，英属北美的第一届责任政府在新斯科舍建立，并由詹姆斯·宇尼亚克（James Uniacke）和约瑟夫·何奥（Joseph Howe）领导。;;;;;;;;;;;;x
